Customer_Id,Invoice_ID,Customer_type,Branch,Product_ID,Payment,Purchase_Date,Rating
418,347-34-2234,Member,B,p_04,Ewallet,22-Jun-2021,10
83,199-75-8169,Member,A,p_04,Credit card,25-Sep-2020,8.6
26,853-23-2453,Member,B,p_01,Cash,9-Nov-2020,7.6
146,877-22-3308,Member,A,p_01,Cash,17-Jan-2022,5.8
809,838-78-4295,Normal,C,p_01,Ewallet,20-Feb-2019,6.7
561,109-28-2512,Member,B,p_06,Ewallet,20-Aug-2020,9.9
837,232-11-3025,Normal,A,p_04,Cash,7-Jul-2021,6.4
354,382-03-4532,Member,A,p_01,Cash,19-Jul-2019,4.3
429,393-65-2792,Normal,C,p_05,Credit card,14-Mar-2019,9.6
600,796-12-2025,Normal,C,p_06,Cash,12-Apr-2021,5.9
9,510-95-6347,Member,B,p_05,Ewallet,9-Jan-2020,4
109,841-35-6630,Normal,C,p_02,Cash,9-Jan-2021,8.7
899,287-21-9091,Normal,A,p_03,Ewallet,26-Sep-2021,9.4
974,732-94-0499,Normal,C,p_02,Credit card,27-Dec-2020,5.4
1,263-10-3913,Member,C,p_06,Credit card,21-Dec-2020,8.6
325,381-20-0914,Member,A,p_06,Credit card,29-Jun-2020,5.7
274,829-49-1914,Member,C,p_05,Ewallet,1-Apr-2020,6.6
182,756-01-7507,Normal,C,p_01,Cash,27-Sep-2020,6
125,870-72-4431,Normal,C,p_01,Credit card,29-Nov-2021,5.5
159,847-38-7188,Normal,B,p_05,Ewallet,13-Mar-2022,6.4
958,480-63-2856,Normal,C,p_05,Ewallet,28-Apr-2020,6.6
314,787-56-0757,Member,C,p_05,Credit card,26-Jul-2021,8.3
82,360-39-5055,Member,C,p_04,Cash,19-Sep-2020,6.6
514,730-50-9884,Normal,C,p_04,Ewallet,10-Feb-2021,4
782,362-58-8315,Normal,C,p_06,Cash,14-Dec-2019,9.9
690,633-44-8566,Member,A,p_05,Credit card,28-Mar-2021,7.3
587,504-35-8843,Normal,A,p_04,Cash,27-Oct-2021,5.7
942,318-68-5053,Normal,B,p_01,Cash,19-Mar-2019,6.1
574,565-80-5980,Member,C,p_03,Cash,15-Mar-2021,7.1
297,225-32-0908,Normal,C,p_04,Ewallet,23-Apr-2020,8.2
206,873-51-0671,Member,A,p_04,Ewallet,21-Mar-2019,5.1
644,152-08-9985,Member,B,p_01,Credit card,16-Jun-2021,8.6
879,512-91-0811,Normal,C,p_01,Credit card,15-Jan-2022,6.6
736,594-34-4444,Normal,A,p_02,Ewallet,16-Nov-2019,7.2
470,766-85-7061,Normal,B,p_01,Ewallet,19-Feb-2019,5.1
397,871-39-9221,Normal,C,p_02,Cash,26-Sep-2020,4.1
964,865-92-6136,Normal,A,p_05,Ewallet,21-Jul-2020,9.3
691,733-01-9107,Normal,B,p_03,Cash,27-Aug-2020,7.4
423,163-56-7055,Member,C,p_06,Cash,3-Jul-2020,4.1
153,189-98-2939,Normal,C,p_06,Cash,1-Jan-2020,7.2
536,551-21-3069,Normal,C,p_02,Cash,24-Jan-2022,4.9
517,212-62-1842,Normal,A,p_05,Cash,18-Jun-2021,9.9
432,716-39-1409,Normal,B,p_01,Cash,7-Aug-2020,8
873,704-48-3927,Member,A,p_02,Ewallet,19-Oct-2021,7.3
973,628-34-3388,Normal,C,p_06,Credit card,30-Mar-2019,7.9
215,630-74-5166,Normal,A,p_04,Cash,20-Sep-2019,7.4
926,588-01-7461,Normal,C,p_05,Cash,26-Jan-2021,4.2
123,861-77-0145,Member,C,p_02,Cash,21-Oct-2020,9.2
258,479-26-8945,Member,B,p_04,Ewallet,27-Jun-2020,4.6
14,210-67-5886,Member,C,p_01,Credit card,6-Mar-2020,7.8
794,227-78-1148,Normal,B,p_06,Cash,25-Aug-2019,8.4
13,645-44-1170,Member,A,p_03,Ewallet,21-Feb-2021,4.3
675,237-01-6122,Member,C,p_03,Credit card,11-Jul-2019,9.5
163,225-98-1496,Normal,C,p_06,Credit card,14-Jul-2021,7.1
217,291-32-1427,Member,B,p_06,Ewallet,7-Dec-2020,5.3
660,659-65-8956,Member,B,p_06,Ewallet,10-Jan-2022,5.2
932,642-32-2990,Normal,A,p_05,Ewallet,27-Mar-2020,6
785,378-24-2715,Normal,B,p_03,Ewallet,17-Sep-2019,4.1
489,638-60-7125,Normal,A,p_02,Credit card,18-Dec-2021,5.2
986,659-36-1684,Member,C,p_04,Credit card,23-Oct-2019,6.5
674,219-22-9386,Member,B,p_04,Credit card,18-Jan-2019,4.2
728,336-78-2147,Member,C,p_03,Credit card,30-Jul-2019,4.6
56,268-27-6179,Member,B,p_06,Ewallet,10-Aug-2021,7.3
186,668-90-8900,Normal,A,p_03,Credit card,23-Jan-2019,4.5
150,870-54-3162,Normal,A,p_04,Cash,22-Jan-2020,9
747,189-08-9157,Normal,C,p_06,Credit card,4-Apr-2021,5.9
254,663-86-9076,Member,C,p_05,Ewallet,29-May-2019,8.5
619,549-84-7482,Normal,B,p_04,Ewallet,3-Sep-2019,7.2
169,191-10-6171,Normal,B,p_06,Cash,11-Jan-2022,7.5
63,802-70-5316,Member,A,p_04,Cash,4-Feb-2021,8.3
194,695-51-0018,Normal,B,p_04,Cash,15-Dec-2021,7.4
157,590-83-4591,Member,B,p_02,Credit card,22-Feb-2020,8.8
615,483-71-1164,Normal,C,p_01,Ewallet,2-Mar-2021,5.3
822,597-78-7908,Normal,C,p_06,Cash,7-Nov-2019,6.2
819,700-81-1757,Normal,A,p_02,Credit card,18-May-2021,8.8
77,354-39-5160,Member,A,p_03,Cash,24-Dec-2019,9.8
369,241-72-9525,Normal,B,p_04,Cash,3-May-2020,8.2
221,575-30-8091,Normal,A,p_04,Ewallet,28-Mar-2020,9.2
363,731-81-9469,Member,C,p_04,Credit card,23-Aug-2020,5.4
128,280-17-4359,Member,C,p_01,Cash,11-Sep-2021,8.1
483,338-65-2210,Member,C,p_01,Cash,22-Jun-2019,9.1
735,488-25-4221,Member,C,p_05,Credit card,28-Jan-2019,8.4
761,239-10-7476,Normal,A,p_03,Ewallet,17-Jul-2021,8
398,458-41-1477,Normal,C,p_01,Credit card,22-Nov-2019,9.5
172,685-64-1609,Member,A,p_06,Ewallet,12-Dec-2021,9.2
727,568-90-5112,Normal,C,p_01,Credit card,23-Dec-2021,5.6
524,262-47-2794,Member,B,p_03,Credit card,15-May-2021,6.2
18,238-49-0436,Normal,A,p_01,Credit card,10-Jan-2021,4.9
231,608-96-3517,Member,B,p_06,Credit card,9-Jul-2020,4.8
650,584-86-7256,Member,C,p_04,Credit card,24-Nov-2020,7.3
505,746-94-0204,Normal,A,p_06,Credit card,15-Dec-2019,7.4
991,214-17-6927,Normal,C,p_05,Ewallet,9-Jan-2022,9.9
196,400-89-4171,Normal,C,p_04,Cash,26-May-2021,9.3
499,782-95-9291,Member,A,p_05,Credit card,9-Feb-2020,9
840,279-74-2924,Member,B,p_02,Cash,20-Aug-2021,6.1
679,307-85-2293,Normal,B,p_03,Ewallet,15-Jul-2019,9.7
526,743-04-1105,Member,B,p_01,Ewallet,18-Mar-2021,6
887,423-57-2993,Normal,B,p_04,Ewallet,8-Jan-2020,10
353,894-41-5205,Normal,C,p_05,Credit card,21-Feb-2020,8.3
533,275-28-0149,Normal,A,p_04,Cash,19-Feb-2021,6
750,101-17-6199,Normal,A,p_05,Credit card,7-Jul-2020,7
205,423-80-0988,Normal,C,p_04,Ewallet,29-Jun-2021,6.5
387,548-46-9322,Normal,B,p_05,Credit card,23-Jun-2019,5.9
362,505-02-0892,Member,B,p_01,Ewallet,19-Feb-2020,5.6
46,234-65-2137,Normal,C,p_03,Cash,12-Jul-2021,4.8
946,687-47-8271,Normal,A,p_06,Credit card,2-May-2021,8.7
392,796-32-9050,Normal,A,p_05,Cash,30-Jan-2019,6.5
271,105-31-1824,Member,A,p_04,Credit card,6-Feb-2020,8.5
767,249-42-3782,Normal,A,p_01,Ewallet,4-Jul-2020,5.5
152,316-55-4634,Member,B,p_05,Credit card,16-Oct-2021,9.4
264,733-33-4967,Normal,C,p_02,Cash,19-Jan-2019,6.3
985,608-27-6295,Member,B,p_02,Credit card,9-Jun-2020,9.8
319,414-12-7047,Normal,B,p_05,Ewallet,20-Sep-2021,8.7
490,827-26-2100,Member,A,p_03,Ewallet,30-Nov-2020,8.8
239,175-54-2529,Member,A,p_05,Credit card,8-Feb-2021,9.6
227,139-52-2867,Normal,C,p_06,Credit card,17-Apr-2021,4.8
368,407-63-8975,Normal,A,p_05,Ewallet,5-Sep-2020,4.4
765,342-65-4817,Member,C,p_01,Ewallet,13-Apr-2019,9.9
642,130-98-8941,Normal,C,p_06,Cash,22-Jan-2021,5.7
807,434-83-9547,Member,C,p_05,Cash,21-Nov-2020,7.7
189,851-28-6367,Member,A,p_04,Ewallet,10-Nov-2021,8
976,824-88-3614,Normal,C,p_01,Ewallet,12-Feb-2020,5.7
130,586-25-0848,Normal,A,p_04,Credit card,11-Apr-2020,6.7
546,895-66-0685,Member,B,p_05,Ewallet,26-Jan-2020,8
140,305-14-0245,Member,B,p_03,Ewallet,3-Aug-2019,7.5
620,732-04-5373,Member,B,p_03,Cash,4-Jun-2021,7
737,400-60-7251,Normal,A,p_03,Ewallet,16-Aug-2019,9.9
839,593-65-1552,Normal,C,p_03,Credit card,15-Feb-2022,5.9
682,284-34-9626,Normal,B,p_03,Credit card,4-May-2020,7.2
895,437-58-8131,Normal,B,p_06,Ewallet,29-Jul-2020,4.6
49,286-43-6208,Normal,C,p_05,Cash,17-Nov-2019,9.2
956,641-43-2399,Normal,B,p_03,Ewallet,30-Sep-2020,5.7
888,831-07-6050,Normal,A,p_02,Credit card,21-Sep-2020,9.9
468,556-86-3144,Member,C,p_06,Cash,6-Dec-2021,5
448,848-24-9445,Member,C,p_01,Cash,14-Apr-2021,4.9
145,856-22-8149,Normal,A,p_03,Ewallet,20-Jan-2021,6.1
764,699-01-4164,Normal,C,p_01,Credit card,7-Feb-2022,8.2
634,420-11-4919,Member,C,p_05,Credit card,24-Nov-2019,5.5
459,606-80-4905,Member,C,p_04,Credit card,4-Sep-2021,6.8
7,542-41-0513,Member,B,p_02,Cash,17-Oct-2021,6.6
273,426-39-2418,Normal,C,p_02,Cash,18-Aug-2020,9.8
803,875-46-5808,Member,B,p_01,Ewallet,8-Dec-2021,8.7
96,394-43-4238,Member,B,p_03,Credit card,13-Jan-2021,5.4
796,749-24-1565,Normal,A,p_01,Ewallet,6-Mar-2022,7.9
511,672-51-8681,Member,C,p_02,Credit card,11-Mar-2022,9.7
458,263-87-5680,Member,C,p_03,Ewallet,11-Jan-2021,7.8
934,573-58-9734,Normal,B,p_06,Ewallet,17-Sep-2021,5.1
462,817-69-8206,Normal,B,p_02,Credit card,8-Nov-2020,6.5
61,888-02-0338,Normal,A,p_02,Ewallet,5-Jun-2020,5.9
97,677-11-0152,Normal,C,p_05,Cash,9-Sep-2020,8.8
360,142-63-6033,Normal,B,p_03,Ewallet,16-Jan-2019,4.9
359,656-16-1063,Normal,B,p_04,Credit card,6-Apr-2019,4.4
545,891-58-8335,Member,B,p_04,Cash,13-Oct-2021,6.5
501,802-43-8934,Normal,A,p_03,Credit card,22-Feb-2022,8.3
549,560-30-5617,Normal,B,p_04,Cash,21-Oct-2019,8.5
902,319-74-2561,Member,A,p_02,Cash,15-Sep-2019,5.5
452,549-03-9315,Normal,B,p_06,Ewallet,19-Jun-2019,8.7
195,790-29-1172,Normal,B,p_05,Credit card,22-Nov-2020,7.9
329,239-36-3640,Normal,B,p_02,Ewallet,14-Jun-2019,6.1
308,468-01-2051,Normal,B,p_05,Ewallet,7-Jan-2020,5.4
635,389-25-3394,Normal,C,p_02,Cash,25-May-2019,9.4
40,279-62-1445,Member,C,p_06,Cash,26-Feb-2019,8.2
355,213-72-6612,Normal,A,p_05,Cash,8-Mar-2022,6.2
126,746-68-6593,Member,C,p_04,Credit card,4-Jul-2021,9.7
866,836-82-5858,Member,B,p_01,Ewallet,22-Jan-2019,4
263,583-72-1480,Member,C,p_02,Ewallet,28-Jan-2022,9.7
596,466-61-5506,Member,B,p_02,Cash,25-Feb-2019,5.3
233,721-86-6247,Normal,A,p_03,Ewallet,14-Nov-2020,7.4
306,289-65-5721,Normal,B,p_06,Cash,28-Jan-2021,6.5
385,545-46-3100,Member,B,p_02,Credit card,10-May-2019,8.7
777,418-02-5978,Normal,B,p_01,Cash,23-Jul-2020,8
801,269-04-5750,Member,B,p_06,Cash,15-Dec-2020,6.7
131,157-13-5295,Member,A,p_01,Ewallet,13-Nov-2019,6.5
358,645-78-8093,Normal,A,p_04,Ewallet,16-Feb-2021,4.1
250,211-30-9270,Normal,C,p_01,Credit card,1-Dec-2019,4.9
937,755-12-3214,Member,C,p_06,Credit card,5-Jul-2019,8.6
296,346-84-3103,Member,B,p_02,Cash,24-Feb-2019,4.3
724,478-06-7835,Normal,A,p_06,Ewallet,19-Nov-2020,4.9
592,540-11-4336,Normal,A,p_05,Credit card,8-Jun-2021,5.6
557,448-81-5016,Normal,A,p_01,Credit card,17-Jan-2020,5.8
853,142-72-4741,Member,C,p_06,Credit card,22-Feb-2019,6
294,217-58-1179,Member,A,p_03,Cash,14-Mar-2022,4.2
375,376-02-8238,Normal,B,p_03,Credit card,26-Mar-2021,8.3
992,530-90-9855,Member,A,p_03,Cash,7-Feb-2021,5.7
792,866-05-7563,Member,B,p_02,Cash,30-Jul-2021,4.8
162,604-70-6476,Member,A,p_06,Ewallet,5-Apr-2021,6.8
754,799-71-1548,Member,A,p_02,Credit card,25-Jun-2019,8.8
566,785-13-7708,Normal,B,p_05,Credit card,20-Mar-2019,4.2
858,845-51-0542,Member,B,p_05,Ewallet,11-Oct-2020,6.4
788,662-47-5456,Member,C,p_06,Credit card,8-Mar-2019,8.4
338,883-17-4236,Normal,C,p_04,Credit card,17-Oct-2019,7.2
909,290-68-2984,Normal,A,p_03,Cash,6-Jun-2021,5.2
551,704-11-6354,Member,A,p_03,Cash,7-Apr-2021,8.9
241,110-48-7033,Member,B,p_06,Cash,8-Jun-2020,9
428,366-93-0948,Member,A,p_02,Credit card,17-Mar-2021,9.7
277,729-09-9681,Member,A,p_03,Ewallet,2-Jun-2021,8.7
322,151-16-1484,Member,A,p_02,Ewallet,28-Jul-2020,6.5
744,380-94-4661,Member,C,p_02,Credit card,22-Mar-2019,6.9
119,850-41-9669,Normal,A,p_02,Ewallet,24-Sep-2019,6.2
337,821-07-3596,Normal,C,p_06,Ewallet,8-Oct-2019,5.6
581,655-85-5130,Member,B,p_06,Cash,4-Dec-2020,5.7
135,447-15-7839,Member,A,p_04,Cash,2-Aug-2021,4.2
763,154-74-7179,Normal,B,p_04,Ewallet,9-Nov-2019,7.9
924,253-12-6086,Member,A,p_04,Credit card,28-Nov-2021,8.7
529,808-65-0703,Normal,C,p_03,Credit card,1-Nov-2019,6.9
53,571-94-0759,Member,B,p_05,Cash,4-Oct-2020,9.5
419,144-51-6085,Member,A,p_03,Credit card,26-Aug-2021,4.4
537,731-14-2199,Member,A,p_03,Ewallet,20-Jan-2019,7
556,783-09-1637,Normal,B,p_04,Ewallet,22-Mar-2020,6.3
287,687-15-1097,Member,C,p_01,Cash,25-Dec-2019,9.7
867,126-54-1082,Member,A,p_03,Credit card,5-Sep-2019,8.8
588,633-91-1052,Normal,A,p_03,Cash,12-Apr-2020,5.1
950,477-24-6490,Normal,B,p_01,Ewallet,13-Oct-2020,7.9
54,566-19-5475,Normal,B,p_06,Cash,17-May-2019,6.2
673,526-86-8552,Member,C,p_03,Cash,14-Mar-2021,7.1
256,376-56-3573,Normal,C,p_06,Ewallet,29-Nov-2019,6.4
898,537-72-0426,Member,C,p_06,Cash,19-May-2021,5.7
69,828-61-5674,Member,A,p_04,Credit card,15-Mar-2020,9.6
606,136-08-6195,Normal,A,p_03,Credit card,12-Oct-2019,6.4
138,523-38-0215,Normal,C,p_03,Credit card,7-Feb-2020,7.9
539,490-29-1201,Normal,A,p_04,Cash,8-Jul-2019,6.5
994,667-92-0055,Member,A,p_01,Ewallet,26-Dec-2020,8.5
963,565-17-3836,Member,A,p_01,Cash,4-Jan-2020,9.1
921,498-41-1961,Normal,B,p_01,Cash,18-Sep-2019,7.6
39,593-95-4461,Member,C,p_03,Cash,25-Jan-2019,6.9
424,226-71-3580,Normal,C,p_04,Cash,15-Nov-2021,9.5
884,283-79-9594,Normal,B,p_05,Credit card,5-Jan-2021,5.2
149,430-60-3493,Member,A,p_03,Cash,24-Aug-2019,4.2
753,139-20-0155,Member,B,p_02,Credit card,18-May-2019,7
151,558-80-4082,Normal,C,p_02,Ewallet,13-May-2020,6
610,278-97-7759,Member,A,p_02,Cash,2-Sep-2020,4.7
766,316-68-6352,Member,A,p_05,Cash,11-Jun-2020,7.1
249,585-03-5943,Normal,B,p_01,Ewallet,1-Oct-2021,5.9
208,211-05-0490,Member,C,p_02,Cash,7-Oct-2020,7.5
698,727-75-6477,Normal,C,p_02,Cash,2-Jan-2019,6.4
17,744-02-5987,Member,A,p_03,Ewallet,13-Feb-2022,5.8
262,307-83-9164,Member,A,p_03,Cash,22-Nov-2021,4.5
525,779-06-0012,Member,C,p_03,Cash,4-Apr-2019,7.7
400,446-47-6729,Normal,C,p_06,Credit card,23-May-2019,6.7
869,573-10-3877,Member,B,p_01,Credit card,12-Jan-2022,4.7
578,735-06-4124,Normal,C,p_05,Cash,2-May-2019,4.4
245,439-54-7422,Normal,A,p_02,Credit card,2-Nov-2021,4.7
570,396-90-2219,Normal,B,p_02,Cash,22-May-2019,8.6
372,411-77-0180,Member,A,p_02,Ewallet,9-Oct-2021,4.3
403,286-01-5402,Normal,A,p_04,Cash,6-Oct-2020,9.6
228,803-17-8013,Member,A,p_03,Cash,6-Feb-2022,4.1
629,512-98-1403,Member,A,p_02,Ewallet,17-Dec-2021,4.7
168,848-42-2560,Normal,A,p_06,Cash,6-Jan-2019,7.8
669,532-59-7201,Member,B,p_04,Cash,17-Jul-2019,5.5
269,181-94-6432,Member,C,p_06,Ewallet,23-Aug-2019,9.7
586,870-76-1733,Member,A,p_05,Credit card,7-Nov-2020,4.4
438,423-64-4619,Member,A,p_01,Cash,25-Mar-2020,5
521,227-07-4446,Member,C,p_02,Cash,29-Oct-2021,4.4
787,174-36-3675,Member,C,p_05,Cash,21-Oct-2021,5.2
916,428-83-5800,Member,C,p_05,Cash,21-Jul-2019,7.3
309,603-07-0961,Member,C,p_02,Cash,27-Sep-2019,4.9
391,704-20-4138,Member,C,p_01,Credit card,10-Sep-2019,8.1
124,787-15-1757,Member,C,p_01,Ewallet,6-Apr-2021,8.4
849,649-11-3678,Normal,C,p_05,Cash,14-Oct-2021,5.5
598,622-20-1945,Normal,C,p_01,Cash,8-May-2020,8.4
683,372-94-8041,Normal,A,p_01,Ewallet,15-Nov-2020,9.8
741,563-91-7120,Normal,A,p_06,Cash,16-Oct-2020,6.7
335,746-54-5508,Normal,A,p_03,Credit card,21-Jan-2020,9.4
808,276-54-0879,Normal,B,p_04,Ewallet,7-Jan-2021,6.4
388,815-11-1168,Member,A,p_05,Cash,3-Jun-2020,5.4
624,719-76-3868,Member,C,p_05,Cash,15-May-2020,8.6
791,730-61-8757,Member,B,p_01,Credit card,10-Jun-2019,4
285,340-66-0321,Member,A,p_02,Cash,30-Jun-2020,7.6
947,868-81-1752,Normal,B,p_03,Cash,30-Dec-2019,6.8
71,634-97-8956,Normal,A,p_05,Credit card,10-Sep-2020,9.1
301,566-71-1091,Normal,A,p_06,Cash,24-Feb-2022,5.5
426,442-48-3607,Member,A,p_05,Credit card,10-Mar-2019,7.9
70,835-16-0096,Member,C,p_04,Ewallet,11-May-2019,8.5
725,527-09-6272,Member,A,p_02,Credit card,5-Apr-2019,9.1
336,898-04-2717,Normal,A,p_06,Ewallet,26-Aug-2020,7.5
341,692-27-8933,Normal,B,p_04,Cash,24-Jun-2019,5.2
519,633-09-3463,Normal,C,p_02,Credit card,13-Apr-2020,9.5
324,374-17-3652,Member,B,p_05,Credit card,6-Dec-2020,8.9
93,378-07-7001,Member,B,p_02,Credit card,30-Aug-2020,7.8
147,433-75-6987,Member,B,p_01,Ewallet,9-Aug-2021,8.9
166,873-95-4984,Member,B,p_01,Cash,25-Aug-2021,7.7
75,416-13-5917,Normal,C,p_05,Ewallet,6-Jan-2021,9.3
79,150-89-8043,Normal,A,p_04,Cash,4-Aug-2019,6.2
389,135-84-8019,Normal,A,p_06,Ewallet,17-Feb-2021,7.6
425,441-94-7118,Member,A,p_02,Cash,5-Feb-2022,7.3
16,725-96-3778,Member,C,p_03,Cash,25-Oct-2019,4.7
175,531-80-1784,Normal,A,p_02,Cash,14-Jan-2020,5.1
512,400-45-1220,Normal,B,p_01,Credit card,2-Dec-2019,4.8
540,860-79-0874,Member,C,p_06,Credit card,4-Dec-2021,6.6
900,834-61-8124,Normal,A,p_02,Cash,1-Dec-2020,5.5
275,115-99-4379,Member,B,p_06,Credit card,24-May-2019,8.5
365,565-67-6697,Member,B,p_03,Cash,6-Oct-2019,4.8
24,320-49-6392,Normal,C,p_02,Cash,15-Oct-2021,8.4
811,889-04-9723,Member,B,p_05,Credit card,7-Sep-2020,7.8
323,632-90-0281,Normal,C,p_06,Credit card,30-Apr-2020,9.3
616,554-42-2417,Normal,C,p_04,Cash,1-Jun-2021,5.2
599,453-63-6187,Normal,B,p_02,Ewallet,24-Apr-2021,6.5
347,578-80-7669,Normal,B,p_04,Cash,25-Jan-2020,5.6
349,612-36-5536,Member,A,p_05,Credit card,18-Sep-2021,7.4
408,605-72-4132,Normal,C,p_05,Cash,6-Jan-2020,9.1
330,471-41-2823,Normal,C,p_05,Ewallet,19-Dec-2020,8
229,462-67-9126,Normal,A,p_03,Cash,6-Feb-2019,7.2
496,272-27-9238,Normal,C,p_05,Cash,26-Sep-2019,7.1
106,834-25-9262,Normal,C,p_06,Cash,5-Jan-2019,9.1
43,122-61-9553,Normal,C,p_02,Cash,29-Sep-2020,5.6
379,468-88-0009,Member,A,p_03,Cash,22-Sep-2019,6
50,613-59-9758,Normal,C,p_04,Cash,16-Jul-2019,5.4
999,254-31-0042,Member,A,p_02,Credit card,9-Feb-2021,7.8
292,201-86-2184,Member,B,p_02,Cash,25-Aug-2020,9.9
948,261-12-8671,Normal,B,p_06,Credit card,1-Dec-2021,4.9
247,730-70-9830,Normal,C,p_03,Ewallet,8-Feb-2022,5.2
800,382-25-8917,Normal,C,p_06,Cash,5-Jul-2020,8.9
463,422-29-8786,Normal,A,p_03,Credit card,8-May-2021,9.1
664,667-23-5919,Member,A,p_06,Ewallet,18-Aug-2019,7
960,843-01-4703,Member,B,p_03,Credit card,30-Aug-2021,9.6
633,743-88-1662,Normal,C,p_04,Ewallet,1-Nov-2021,8.7
108,595-86-2894,Member,C,p_06,Ewallet,8-Aug-2020,9.4
243,182-69-8360,Normal,B,p_02,Credit card,27-Feb-2021,4
875,289-15-7034,Member,A,p_04,Credit card,7-Feb-2019,7.5
751,462-78-5240,Normal,C,p_02,Cash,12-Jan-2019,4.2
34,868-52-7573,Normal,B,p_05,Cash,28-Feb-2021,9.9
967,153-58-4872,Member,C,p_05,Ewallet,24-Jun-2020,4.2
