Invoice_ID,Product_ID,Quantity,Unit_Price,Tax
118-62-1812,p_03,4,78.38,15.676
549-96-4200,p_05,4,17.04,3.408
102-77-2261,p_01,7,65.31,22.8585
565-17-3836,p_01,4,47.67,9.534
505-02-0892,p_01,8,42.57,17.028
562-12-5430,p_06,3,88.15,13.2225
745-71-3520,p_02,7,25.22,8.827
404-91-5964,p_02,7,74.58,26.103
678-79-0726,p_04,9,90.63,40.7835
803-17-8013,p_03,8,88.79,35.516
563-91-7120,p_06,5,61.77,15.4425
608-96-3517,p_06,4,91.54,18.308
747-58-7183,p_06,3,57.27,8.5905
726-27-2396,p_01,5,77.5,19.375
490-95-0021,p_05,10,33.21,16.605
378-07-7001,p_02,3,48.09,7.2135
459-50-7686,p_02,6,23.46,7.038
727-02-1313,p_05,1,31.84,1.592
707-32-7409,p_04,4,95.54,19.108
764-44-8999,p_01,2,14.76,1.476
633-09-3463,p_02,3,47.65,7.1475
884-80-6021,p_02,10,73.47,36.735
761-49-0439,p_02,8,12.1,4.84
877-22-3308,p_01,10,15.87,7.935
534-53-3526,p_04,4,94.76,18.952
407-63-8975,p_05,6,73.88,22.164
584-66-4073,p_06,1,56.5,2.825
652-43-6591,p_06,8,97.29,38.916
606-80-4905,p_04,6,19.15,5.745
372-62-5264,p_05,9,52.6,23.67
346-12-3257,p_02,9,19.24,8.658
287-21-9091,p_03,9,74.67,33.6015
716-39-1409,p_01,7,30.35,10.6225
291-32-1427,p_06,5,21.94,5.485
493-65-6248,p_04,10,36.98,18.49
355-34-6244,p_05,2,72.39,7.239
321-49-7382,p_04,1,88.31,4.4155
186-71-5196,p_05,2,79.54,7.954
286-75-7818,p_06,2,69.08,6.908
679-22-6530,p_04,2,40.62,4.062
627-95-3243,p_03,9,77.68,34.956
721-86-6247,p_03,8,63.42,25.368
613-59-9758,p_04,10,14.36,7.18
848-42-2560,p_06,2,81.91,8.191
318-12-0304,p_06,1,30.61,1.5305
142-72-4741,p_06,2,93.2,9.32
267-62-7380,p_02,10,82.34,41.17
731-81-9469,p_04,10,89.8,44.9
458-10-8612,p_01,7,64.08,22.428
565-80-5980,p_03,4,47.38,9.476
715-20-1673,p_02,5,28.38,7.095
605-03-2706,p_01,3,15.8,2.37
138-17-5109,p_03,9,89.21,40.1445
573-98-8548,p_06,1,31.9,1.595
880-46-5796,p_04,10,76.92,38.46
235-06-8510,p_03,3,85.72,12.858
891-01-7034,p_02,6,74.71,22.413
423-64-4619,p_01,9,15.55,6.9975
807-34-3742,p_06,1,52.38,2.619
144-51-6085,p_03,4,70.74,14.148
201-63-8275,p_04,7,67.99,23.7965
318-81-2368,p_02,1,46.2,2.31
620-02-2046,p_03,2,69.4,6.94
452-04-8808,p_02,7,87.08,30.478
209-61-0206,p_03,5,42.91,10.7275
649-29-6775,p_06,1,33.52,1.676
393-65-2792,p_05,10,89.48,44.74
355-53-5943,p_02,6,68.84,20.652
102-06-2002,p_04,5,25.25,6.3125
460-35-4390,p_03,3,30.68,4.602
728-47-9078,p_05,4,59.59,11.918
372-26-1506,p_06,5,23.82,5.955
857-67-9057,p_02,10,22.95,11.475
468-01-2051,p_05,7,62.08,21.728
633-91-1052,p_03,2,12.03,1.203
438-01-4015,p_04,4,49.49,9.898
755-12-3214,p_06,5,44.22,11.055
340-21-9136,p_04,4,40.05,8.01
305-89-2768,p_03,3,21.9,3.285
840-19-2096,p_02,5,87.91,21.9775
268-03-6164,p_01,1,96.11,4.8055
704-48-3927,p_02,10,88.67,44.335
227-50-3718,p_01,5,14.62,3.655
631-34-1880,p_05,3,24.31,3.6465
651-96-5970,p_06,1,46.41,2.3205
817-48-8732,p_03,10,72.35,36.175
450-28-2866,p_05,5,17.44,4.36
379-17-6588,p_06,10,59.61,29.805
400-45-1220,p_01,10,13.5,6.75
845-94-6841,p_05,9,72.88,32.796
760-54-1821,p_03,9,13.59,6.1155
706-36-6154,p_03,9,19.36,8.712
149-14-0304,p_01,8,28.5,11.4
338-65-2210,p_01,10,68.6,34.3
589-02-8023,p_05,2,83.77,8.377
130-98-8941,p_06,7,64.26,22.491
382-03-4532,p_01,1,18.33,0.9165
710-46-4433,p_05,9,77.4,34.83
186-79-9562,p_01,7,71.77,25.1195
173-57-2300,p_04,2,72.88,7.288
106-35-6779,p_03,2,44.34,4.434
862-59-8517,p_05,6,90.24,27.072
242-55-6721,p_03,2,16.16,1.616
667-92-0055,p_01,6,99.83,29.949
290-68-2984,p_03,4,23.75,4.75
226-31-3081,p_02,5,15.28,3.82
301-11-9629,p_04,7,19.1,6.685
605-72-4132,p_05,8,94.47,37.788
152-08-9985,p_01,9,64.36,28.962
221-25-5073,p_05,4,74.66,14.932
662-47-5456,p_06,10,35.19,17.595
852-62-7105,p_06,10,83.25,41.625
269-10-8440,p_01,7,53.17,18.6095
851-98-3555,p_01,5,82.88,20.72
333-73-7901,p_01,8,54.92,21.968
695-09-5146,p_05,3,98.79,14.8185
315-22-5665,p_03,10,73.56,36.78
244-08-0162,p_01,10,34.21,17.105
629-42-4133,p_01,8,21.8,8.72
770-42-8960,p_05,8,21.12,8.448
451-73-2711,p_05,1,84.83,4.2415
142-63-6033,p_03,5,92.36,23.09
744-09-5786,p_02,6,22.01,6.603
262-47-2794,p_03,8,71.86,28.744
712-39-0363,p_05,6,41.66,12.498
234-36-2483,p_01,6,57.59,17.277
487-79-6868,p_03,9,12.29,5.5305
554-53-3790,p_04,6,37.02,11.106
885-17-6250,p_01,1,79.74,3.987
198-66-9832,p_06,2,72.04,7.204
744-02-5987,p_03,6,78.38,23.514
381-20-0914,p_06,9,20.01,9.0045
258-69-7810,p_06,5,36.85,9.2125
380-60-5336,p_02,10,40.26,20.13
137-74-8729,p_06,8,12.19,4.876
740-11-5257,p_02,10,24.74,12.37
497-36-0989,p_06,3,51.94,7.791
889-04-9723,p_05,4,89.14,17.828
498-41-1961,p_01,5,66.68,16.67
305-18-3552,p_03,10,60.38,30.19
220-28-1851,p_03,2,34.73,3.473
799-71-1548,p_02,4,77.72,15.544
155-45-3814,p_02,8,88.55,35.42
305-03-2383,p_05,3,67.1,10.065
838-02-1821,p_03,2,12.73,1.273
433-75-6987,p_01,7,55.97,19.5895
489-64-4354,p_06,1,16.28,0.814
836-82-5858,p_01,9,69.37,31.2165
186-09-3669,p_01,1,81.51,4.0755
554-42-2417,p_04,10,95.44,47.72
371-85-5789,p_01,3,87.98,13.197
189-98-2939,p_06,9,78.55,35.3475
347-34-2234,p_04,9,55.07,24.7815
241-11-2261,p_06,7,79.86,27.951
540-11-4336,p_05,9,24.94,11.223
359-94-5395,p_01,1,92.78,4.639
828-46-6863,p_05,6,98.53,29.559
211-30-9270,p_01,5,17.41,4.3525
445-30-9252,p_04,3,25.7,3.855
729-09-9681,p_03,6,25.91,7.773
291-59-1384,p_02,1,60.3,3.015
195-06-0432,p_03,3,81.01,12.1515
431-66-2305,p_02,9,88.25,39.7125
512-98-1403,p_02,3,26.48,3.972
503-07-0930,p_04,7,58.39,20.4365
232-16-2483,p_04,1,68.12,3.406
751-41-9720,p_03,10,97.5,48.75
356-44-8813,p_03,3,37.48,5.622
300-71-4605,p_02,5,86.04,21.51
457-12-0244,p_04,6,35.22,10.566
849-09-3807,p_06,7,88.34,30.919
136-08-6195,p_03,8,69.96,27.984
173-82-9529,p_06,10,37.95,18.975
698-98-5964,p_05,10,81.21,40.605
834-61-8124,p_02,7,51.69,18.0915
659-36-1684,p_04,7,57.12,19.992
123-35-4896,p_04,9,46.66,20.997
400-89-4171,p_04,8,80.97,32.388
200-16-5952,p_05,2,65.65,6.565
239-10-7476,p_03,6,77.95,23.385
307-04-2070,p_06,1,30.62,1.531
648-83-1321,p_03,10,63.56,31.78
466-61-5506,p_02,6,90.7,27.21
485-30-8700,p_04,5,33.26,8.315
483-71-1164,p_01,6,81.3,24.39
689-16-9784,p_05,6,46.77,14.031
443-82-0585,p_01,4,77.68,15.536
895-66-0685,p_05,3,18.08,2.712
811-03-8790,p_02,10,45.48,22.74
511-54-3087,p_04,1,88.45,4.4225
548-48-3156,p_05,2,83.34,8.334
234-03-4040,p_05,10,73.05,36.525
880-35-0356,p_04,3,75.2,11.28
866-70-2814,p_02,10,52.79,26.395
883-69-1285,p_06,2,49.92,4.992
334-64-2006,p_03,2,70.32,7.032
807-14-7833,p_02,10,17.42,8.71
326-71-2155,p_04,4,73.95,14.79
160-22-2687,p_01,5,95.95,23.9875
886-77-9084,p_02,8,71.89,28.756
225-98-1496,p_06,3,27.02,4.053
541-08-3113,p_05,8,65.97,26.388
526-86-8552,p_03,10,21.82,10.91
588-01-7461,p_05,9,33.98,15.291
825-94-5922,p_04,2,25.31,2.531
172-42-8274,p_02,2,38.27,3.827
213-32-1216,p_02,6,66.06,19.818
803-83-5989,p_03,6,55.73,16.719
850-41-9669,p_02,9,75.06,33.777
274-05-5470,p_05,4,73.47,14.694
668-90-8900,p_03,7,93.69,32.7915
544-32-5024,p_05,4,49.79,9.958
845-51-0542,p_05,9,46.55,20.9475
109-28-2512,p_06,6,97.61,29.283
539-21-7227,p_04,5,51.54,12.885
308-39-1707,p_06,1,12.09,0.6045
574-22-5561,p_06,10,82.63,41.315
575-30-8091,p_04,8,72.5,29
416-17-9926,p_02,10,74.22,37.11
545-46-3100,p_02,3,10.59,1.5885
834-25-9262,p_06,4,81.68,16.336
640-49-2076,p_04,8,83.78,33.512
655-85-5130,p_06,4,38.3,7.66
585-11-6748,p_04,3,96.8,14.52
333-23-2632,p_01,7,10.08,3.528
732-67-5346,p_05,5,13.79,3.4475
649-11-3678,p_05,9,22.93,10.3185
277-63-2961,p_04,1,73.97,3.6985
741-73-3559,p_04,5,67.27,16.8175
406-46-7107,p_03,6,96.52,28.956
199-75-8169,p_04,10,15.81,7.905
795-49-7276,p_06,4,37.15,7.43
418-02-5978,p_01,9,84.09,37.8405
489-82-1237,p_02,7,93.88,32.858
556-97-7101,p_02,2,63.22,6.322
228-96-1411,p_05,8,98.7,39.48
509-29-3912,p_04,9,38.72,17.424
303-96-2227,p_03,10,97.38,48.69
319-74-2561,p_02,3,94.64,14.196
600-38-9738,p_04,5,71.92,17.98
744-16-7898,p_03,10,97.37,48.685
595-27-4851,p_06,7,54.28,18.998
551-21-3069,p_02,9,23.07,10.3815
574-80-1489,p_05,4,62.85,12.57
586-25-0848,p_04,7,12.34,4.319
134-54-4720,p_02,8,42.42,16.968
105-31-1824,p_04,7,69.52,24.332
677-11-0152,p_05,9,93.26,41.967
776-68-1096,p_03,3,44.12,6.618
566-19-5475,p_06,7,47.97,16.7895
441-94-7118,p_02,1,71.95,3.5975
642-30-6693,p_04,6,54.51,16.353
139-20-0155,p_02,10,40.3,20.15
176-78-1170,p_01,3,33.81,5.0715
212-62-1842,p_05,6,58.26,17.478
593-65-1552,p_03,4,69.81,13.962
612-36-5536,p_05,8,80.96,32.384
603-07-0961,p_02,5,74.79,18.6975
285-68-5083,p_04,3,24.74,3.711
831-81-6575,p_02,9,75.59,34.0155
672-51-8681,p_02,9,66.65,29.9925
226-34-0034,p_02,4,13.78,2.756
263-10-3913,p_06,9,49.04,22.068
894-41-5205,p_05,8,43.18,17.272
120-06-4233,p_02,6,30.61,9.183
169-52-4504,p_02,3,15.69,2.3535
700-81-1757,p_02,5,26.31,6.5775
124-31-1458,p_02,3,79.59,11.9385
528-87-5606,p_02,1,39.48,1.974
647-50-1224,p_06,10,29.42,14.71
732-94-0499,p_02,10,41.65,20.825
414-12-7047,p_05,8,19.79,7.916
670-71-7306,p_04,6,44.63,13.389
443-60-9639,p_03,1,60.87,3.0435
588-47-8641,p_06,10,56.04,28.02
237-44-6163,p_02,8,10.56,4.224
241-96-5076,p_03,2,49.1,4.91
743-88-1662,p_04,7,95.49,33.4215
719-76-3868,p_05,4,94.26,18.852
250-81-7186,p_02,1,99.69,4.9845
804-38-3935,p_02,3,93.78,14.067
528-14-9470,p_01,1,91.3,4.565
779-42-2410,p_05,3,57.74,8.661
186-43-8965,p_03,2,47.68,4.768
236-86-3015,p_03,1,13.98,0.699
301-81-8610,p_06,8,25.42,10.168
151-33-7434,p_05,1,67.77,3.3885
269-04-5750,p_06,4,73.82,14.764
434-83-9547,p_05,8,38.47,15.388
582-52-8065,p_06,9,54.31,24.4395
584-86-7256,p_04,7,34.56,12.096
258-92-7466,p_01,5,35.68,8.92
725-96-3778,p_03,8,89.25,35.7
374-17-3652,p_05,9,42.82,19.269
316-66-3011,p_05,9,47.63,21.4335
857-16-3520,p_06,7,71.46,25.011
247-11-2470,p_06,4,22.32,4.464
276-75-6884,p_01,3,68.71,10.3065
345-08-4992,p_03,6,33.99,10.197
313-66-9943,p_05,3,29.15,4.3725
322-02-2271,p_04,3,42.97,6.4455
349-97-8902,p_05,2,57.89,5.789
390-80-5128,p_01,1,19.15,0.9575
148-82-2527,p_03,10,12.12,6.06
525-09-8450,p_02,10,72.13,36.065
490-29-1201,p_04,1,15.34,0.767
358-88-9262,p_05,6,87.48,26.244
775-72-1988,p_03,5,73.28,18.32
609-81-8548,p_03,6,37.44,11.232
243-55-8457,p_05,10,74.44,37.22
129-29-8530,p_04,5,62.62,15.655
409-33-9708,p_06,2,98.48,9.848
284-54-4231,p_04,1,80.93,4.0465
616-87-0016,p_06,7,95.54,33.439
115-99-4379,p_06,7,54.73,19.1555
390-17-5806,p_05,1,38.42,1.921
865-92-6136,p_05,3,52.75,7.9125
462-78-5240,p_02,2,26.61,2.661
831-64-0259,p_06,5,39.75,9.9375
824-88-3614,p_01,8,34.31,13.724
525-88-7307,p_04,1,75.82,3.791
556-41-6224,p_01,8,33.64,13.456
369-82-2676,p_02,5,75.66,18.915
704-10-4056,p_01,3,60.47,9.0705
843-73-4724,p_06,1,74.1,3.705
434-35-9162,p_05,4,23.34,4.668
714-02-3114,p_04,2,98.8,9.88
731-14-2199,p_03,10,35.54,17.77
873-51-0671,p_04,7,21.98,7.693
227-78-1148,p_06,7,72.84,25.494
728-88-7867,p_03,4,75.53,15.106
480-63-2856,p_05,8,19.25,7.7
800-09-8606,p_03,5,87.37,21.8425
275-28-0149,p_04,1,63.69,3.1845
843-01-4703,p_03,9,35.38,15.921
442-48-3607,p_05,2,23.48,2.348
794-42-3736,p_05,2,33.33,3.333
362-58-8315,p_06,5,76.52,19.13
457-94-0464,p_02,9,87.87,39.5415
604-70-6476,p_06,5,17.94,4.485
227-07-4446,p_02,10,78.13,39.065
816-72-8853,p_04,5,27.93,6.9825
512-91-0811,p_01,1,89.75,4.4875
596-42-3999,p_05,7,18.22,6.377
659-65-8956,p_06,1,51.36,2.568
131-15-8856,p_05,8,72.52,29.008
870-54-3162,p_04,5,32.25,8.0625
871-39-9221,p_02,6,12.45,3.735
189-17-4241,p_06,2,87.67,8.767
189-52-0236,p_02,7,99.55,34.8425
390-31-6381,p_05,3,27.22,4.083
510-09-5628,p_06,10,19.66,9.83
663-86-9076,p_05,8,68.54,27.416
655-07-2265,p_02,3,78.31,11.7465
593-95-4461,p_03,1,74.86,3.743
375-72-3056,p_04,3,63.06,9.459
283-26-5248,p_05,10,98.52,49.26
577-34-7579,p_05,9,50.49,22.7205
516-77-6464,p_01,5,10.16,2.54
642-61-4706,p_05,2,93.4,9.34
409-49-6995,p_05,6,47.27,14.181
443-59-0061,p_05,10,67.45,33.725
339-38-9982,p_06,2,59.86,5.986
660-29-7083,p_02,10,55.87,27.935
605-83-1050,p_06,2,27.18,2.718
641-62-7288,p_03,6,99.92,29.976
220-68-6701,p_03,4,77.47,15.494
239-36-3640,p_02,6,45.35,13.605
531-56-4728,p_03,3,80.08,12.012
568-90-5112,p_01,4,66.14,13.228
243-47-2663,p_02,6,18.77,5.631
541-48-8554,p_04,9,60.95,27.4275
848-07-1692,p_01,2,57.22,5.722
892-05-6689,p_03,5,28.32,7.08
628-34-3388,p_06,6,27.38,8.214
859-97-6048,p_02,2,84.25,8.425
127-47-6963,p_01,4,51.71,10.342
448-81-5016,p_01,2,59.77,5.977
122-61-9553,p_02,9,51.32,23.094
482-17-1179,p_02,3,11.94,1.791
148-41-7930,p_01,7,99.96,34.986
556-86-3144,p_06,1,74.29,3.7145
735-06-4124,p_05,1,48.61,2.4305
411-77-0180,p_02,7,72.2,25.27
478-06-7835,p_06,1,89.69,4.4845
436-54-4512,p_05,1,91.61,4.5805
374-38-5555,p_06,5,63.71,15.9275
190-14-3147,p_01,4,17.97,3.594
156-20-0370,p_02,1,25.45,1.2725
396-90-2219,p_02,8,14.96,5.984
135-84-8019,p_06,9,77.93,35.0685
225-32-0908,p_04,10,44.86,22.43
674-56-6360,p_02,1,95.15,4.7575
460-93-5834,p_04,7,45.58,15.953
360-39-5055,p_04,5,48.91,12.2275
157-13-5295,p_01,10,51.94,25.97
777-82-7220,p_03,8,30.12,12.048
727-75-6477,p_02,4,28.84,5.768
110-48-7033,p_06,4,32.62,6.524
645-44-1170,p_03,9,58.07,26.1315
314-23-4520,p_01,7,81.23,28.4305
428-83-5800,p_05,3,21.08,3.162
477-59-2456,p_06,7,45.44,15.904
760-90-2357,p_02,6,74.51,22.353
548-46-9322,p_05,10,39.9,19.95
796-12-2025,p_06,10,62.12,31.06
687-15-1097,p_01,2,21.12,2.112
286-01-5402,p_04,7,40.23,14.0805
834-45-5519,p_02,4,43,8.6
132-32-9879,p_02,4,93.96,18.792
252-56-2699,p_05,10,43.19,21.595
726-29-6793,p_02,8,24.18,9.672
743-04-1105,p_01,9,97.22,43.749
886-18-2897,p_05,5,56.56,14.14
307-83-9164,p_03,4,60.01,12.002
861-77-0145,p_02,10,81.97,40.985
815-11-1168,p_05,5,99.78,24.945
151-27-8496,p_02,4,56.13,11.226
237-01-6122,p_03,9,80.79,36.3555
709-58-4068,p_06,10,41.09,20.545
782-95-9291,p_05,5,92.29,23.0725
829-34-3910,p_01,10,71.38,35.69
783-09-1637,p_04,5,67.43,16.8575
711-31-1234,p_02,4,95.64,19.128
835-16-0096,p_04,5,14.7,3.675
860-73-6466,p_04,2,39.47,3.947
866-99-7614,p_05,10,89.2,44.6
624-01-8356,p_03,10,49.01,24.505
166-19-2553,p_04,6,89.06,26.718
699-14-3026,p_02,7,85.39,29.8865
271-88-8734,p_06,10,97.21,48.605
189-40-5216,p_02,7,96.37,33.7295
749-24-1565,p_01,9,23.03,10.3635
233-67-5758,p_01,1,40.35,2.0175
546-80-2899,p_03,2,37.69,3.769
565-67-6697,p_03,9,27,12.15
420-04-7590,p_03,3,99.7,14.955
617-15-4209,p_01,2,15.37,1.537
210-57-1719,p_01,9,58.24,26.208
746-19-0921,p_05,1,21.58,1.079
549-23-9016,p_05,2,14.87,1.487
449-27-2918,p_04,1,39.12,1.956
529-56-3974,p_02,4,25.51,5.102
866-05-7563,p_02,3,81.4,12.21
501-61-1753,p_03,6,63.15,18.945
153-58-4872,p_05,4,74.89,14.978
669-54-1719,p_02,6,18.93,5.679
641-51-2661,p_05,10,87.1,43.55
339-12-4827,p_06,1,73.96,3.698
427-45-9297,p_03,7,40.73,14.2555
320-49-6392,p_02,1,30.24,1.512
154-74-7179,p_04,1,54.45,2.7225
503-21-4385,p_01,3,39.91,5.9865
532-59-7201,p_04,6,79.93,23.979
865-41-9075,p_05,7,11.53,4.0355
787-56-0757,p_05,4,80.36,16.072
514-37-2845,p_06,2,99.25,9.925
809-69-9497,p_03,10,45.68,22.84
200-40-6154,p_03,6,65.91,19.773
227-03-5010,p_03,8,52.59,21.036
497-37-6538,p_04,7,58.91,20.6185
559-98-9873,p_06,7,53.65,18.7775
289-15-7034,p_04,4,82.33,16.466
784-21-9238,p_04,1,10.17,0.5085
737-88-5876,p_03,4,23.29,4.658
886-54-6089,p_03,6,11.43,3.429
286-62-6248,p_06,4,39.21,7.842
351-62-0822,p_06,4,14.48,2.896
239-48-4278,p_05,7,10.13,3.5455
730-70-9830,p_03,6,70.11,21.033
433-08-7822,p_01,7,78.89,27.6115
133-77-3154,p_06,4,60.18,12.036
634-97-8956,p_05,3,32.9,4.935
426-39-2418,p_02,7,61.41,21.4935
635-40-6220,p_01,8,89.6,35.84
126-54-1082,p_03,9,21.54,9.693
354-39-5160,p_03,6,34.42,10.326
720-72-2436,p_05,4,66.52,13.304
191-10-6171,p_06,7,39.62,13.867
394-30-3170,p_04,8,88.43,35.372
296-11-7041,p_01,1,27.07,1.3535
288-62-1085,p_06,5,38.54,9.635
382-25-8917,p_06,6,42.08,12.624
376-02-8238,p_03,8,93.87,37.548
733-33-4967,p_02,8,20.85,8.34
449-16-6770,p_01,5,50.79,12.6975
583-72-1480,p_02,4,37.06,7.412
642-32-2990,p_05,10,10.96,5.48
550-84-8664,p_04,5,85.91,21.4775
401-18-8016,p_04,1,98.13,4.9065
471-41-2823,p_05,2,99.79,9.979
531-80-1784,p_02,7,26.02,9.107
549-03-9315,p_06,8,94.87,37.948
871-79-8483,p_06,5,94.13,23.5325
797-88-0493,p_01,4,64.27,12.854
793-10-3222,p_01,6,41.06,12.318
862-17-9201,p_05,6,84.05,25.215
648-94-3045,p_01,10,58.95,29.475
196-01-2849,p_06,7,73.38,25.683
777-67-2495,p_03,3,68.97,10.3455
340-66-0321,p_02,4,36.36,7.272
468-88-0009,p_03,4,65.94,13.188
887-42-0517,p_04,7,83.14,29.099
430-53-4718,p_01,8,75.37,30.148
533-33-5337,p_02,10,79.39,39.695
448-34-8700,p_03,7,36.91,12.9185
602-80-9671,p_03,6,15.95,4.785
534-01-4457,p_05,6,81.71,24.513
841-35-6630,p_02,6,75.91,22.773
181-82-6255,p_03,6,16.37,4.911
856-22-8149,p_03,1,25.29,1.2645
263-87-5680,p_03,10,28.53,14.265
222-42-0244,p_01,9,72.11,32.4495
569-76-2760,p_04,4,22.01,4.402
346-84-3103,p_02,5,13.22,3.305
214-17-6927,p_05,6,16.48,4.944
851-28-6367,p_04,10,15.5,7.75
730-50-9884,p_04,7,83.06,29.071
152-68-2907,p_05,3,52.2,7.83
210-67-5886,p_01,3,98.21,14.7315
859-71-0933,p_04,2,15.49,1.549
725-67-2480,p_06,6,58.75,17.625
219-22-9386,p_04,9,99.96,44.982
462-67-9126,p_03,6,73.22,21.966
324-41-6833,p_02,8,30.2,12.08
778-71-5554,p_06,1,15.43,0.7715
856-66-2701,p_03,3,53.3,7.995
509-10-0516,p_03,4,45.97,9.194
272-65-1806,p_02,9,60.88,27.396
640-48-5028,p_03,9,88.39,39.7755
280-17-4359,p_01,10,90.5,45.25
756-93-1854,p_06,2,83.35,8.335
470-31-3286,p_01,3,14.82,2.223
440-59-5691,p_01,7,37.15,13.0025
692-92-5582,p_05,3,54.84,8.226
271-77-8740,p_04,6,29.22,8.766
699-88-1972,p_01,8,99.16,39.664
618-34-8551,p_04,2,93.18,9.318
687-47-8271,p_06,10,98.98,49.49
667-23-5919,p_06,5,96.7,24.175
533-66-5566,p_03,7,51.07,17.8745
279-62-1445,p_06,1,12.54,0.627
635-28-5728,p_01,3,56,8.4
746-04-1077,p_05,10,84.63,42.315
418-05-0656,p_06,7,25.56,8.946
246-11-3901,p_02,10,32.8,16.4
852-82-2749,p_04,4,64.59,12.918
288-38-3758,p_06,3,84.87,12.7305
537-72-0426,p_06,10,70.99,35.495
638-60-7125,p_02,8,99.56,39.824
458-41-1477,p_01,6,46.26,13.878
636-48-8204,p_02,5,34.56,8.64
881-41-7302,p_06,1,64.99,3.2495
556-72-8512,p_03,1,22.96,1.148
552-44-5977,p_01,8,62,24.8
592-46-1692,p_05,7,36.77,12.8695
796-32-9050,p_05,6,51.28,15.384
470-32-9057,p_05,5,51.34,12.835
790-38-4466,p_01,5,10.99,2.7475
767-97-4650,p_04,2,64.83,6.483
101-81-4070,p_01,2,62.82,6.282
848-95-6252,p_03,1,86.27,4.3135
146-09-5432,p_05,9,35.04,15.768
110-05-6330,p_05,6,39.43,11.829
767-05-1286,p_03,6,83.77,25.131
760-53-9233,p_06,3,41.28,6.192
423-57-2993,p_04,6,93.39,28.017
748-45-2862,p_03,4,28.31,5.662
318-68-5053,p_01,6,76.99,23.097
125-45-2293,p_06,6,99.1,29.73
732-04-5373,p_03,4,46.47,9.294
630-74-5166,p_04,6,62.13,18.639
651-88-7328,p_06,9,65.74,29.583
830-58-2383,p_03,4,31.75,6.35
607-65-2441,p_01,10,81.95,40.975
316-68-6352,p_05,2,36.36,3.636
781-84-8059,p_06,7,60.74,21.259
373-09-4567,p_05,10,77.56,38.78
701-69-8742,p_04,10,34.37,17.185
750-57-9686,p_03,4,45.38,9.076
746-94-0204,p_06,9,83.24,37.458
