Invoice_ID,Product_ID,Total,cogs
434-83-9547,p_05,323.148,307.76
851-28-6367,p_04,162.75,155
824-88-3614,p_01,288.204,274.48
586-25-0848,p_04,90.699,86.38
895-66-0685,p_05,56.952,54.24
305-14-0245,p_03,793.716,755.92
732-04-5373,p_03,195.174,185.88
400-60-7251,p_03,77.7735,74.07
593-65-1552,p_03,293.202,279.24
284-34-9626,p_03,242.676,231.12
437-58-8131,p_06,154.392,147.04
286-43-6208,p_05,829.71,790.2
641-43-2399,p_03,107.31,102.2
831-07-6050,p_02,171.7275,163.55
556-86-3144,p_06,78.0045,74.29
848-24-9445,p_01,91.77,87.4
856-22-8149,p_03,26.5545,25.29
699-01-4164,p_01,174.3,166
420-11-4919,p_05,374.7975,356.95
606-80-4905,p_04,120.645,114.9
542-41-0513,p_02,241.458,229.96
426-39-2418,p_02,451.3635,429.87
875-46-5808,p_01,271.95,259
394-43-4238,p_03,93.2925,88.85
749-24-1565,p_01,217.6335,207.27
672-51-8681,p_02,629.8425,599.85
263-87-5680,p_03,299.565,285.3
573-58-9734,p_06,95.6655,91.11
817-69-8206,p_02,942.4485,897.57
888-02-0338,p_02,247.8735,236.07
677-11-0152,p_05,881.307,839.34
142-63-6033,p_03,484.89,461.8
656-16-1063,p_04,146.223,139.26
891-58-8335,p_04,217.6335,207.27
802-43-8934,p_03,19.194,18.28
560-30-5617,p_04,130.0425,123.85
319-74-2561,p_02,298.116,283.92
549-03-9315,p_06,796.908,758.96
790-29-1172,p_05,180.621,172.02
239-36-3640,p_02,285.705,272.1
468-01-2051,p_05,456.288,434.56
389-25-3394,p_02,62.0025,59.05
279-62-1445,p_06,13.167,12.54
213-72-6612,p_05,90.825,86.5
746-68-6593,p_04,183.036,174.32
836-82-5858,p_01,655.5465,624.33
583-72-1480,p_02,155.652,148.24
466-61-5506,p_02,571.41,544.2
721-86-6247,p_03,532.728,507.36
289-65-5721,p_06,170.877,162.74
545-46-3100,p_02,33.3585,31.77
418-02-5978,p_01,794.6505,756.81
269-04-5750,p_06,310.044,295.28
157-13-5295,p_01,545.37,519.4
645-78-8093,p_04,195.594,186.28
211-30-9270,p_01,91.4025,87.05
755-12-3214,p_06,232.155,221.1
346-84-3103,p_02,69.405,66.1
478-06-7835,p_06,94.1745,89.69
540-11-4336,p_05,235.683,224.46
448-81-5016,p_01,125.517,119.54
142-72-4741,p_06,195.72,186.4
217-58-1179,p_03,263.13,250.6
376-02-8238,p_03,788.508,750.96
530-90-9855,p_03,399.756,380.72
866-05-7563,p_02,256.41,244.2
604-70-6476,p_06,94.185,89.7
799-71-1548,p_02,326.424,310.88
785-13-7708,p_05,536.991,511.42
845-51-0542,p_05,439.8975,418.95
662-47-5456,p_06,369.495,351.9
883-17-4236,p_04,30.219,28.78
290-68-2984,p_03,99.75,95
704-11-6354,p_03,494.76,471.2
110-48-7033,p_06,137.004,130.48
366-93-0948,p_02,69.6675,66.35
729-09-9681,p_03,163.233,155.46
151-16-1484,p_02,135.45,129
380-94-4661,p_02,276.948,263.76
850-41-9669,p_02,709.317,675.54
821-07-3596,p_06,69.09,65.8
655-85-5130,p_06,160.86,153.2
447-15-7839,p_04,233.52,222.4
154-74-7179,p_04,57.1725,54.45
253-12-6086,p_04,723.24,688.8
808-65-0703,p_03,148.974,141.88
571-94-0759,p_05,783.3,746
144-51-6085,p_03,297.108,282.96
731-14-2199,p_03,373.17,355.4
783-09-1637,p_04,354.0075,337.15
687-15-1097,p_01,44.352,42.24
126-54-1082,p_03,203.553,193.86
633-91-1052,p_03,25.263,24.06
477-24-6490,p_01,628.173,598.26
566-19-5475,p_06,352.5795,335.79
526-86-8552,p_03,229.11,218.2
376-56-3573,p_06,400.764,381.68
537-72-0426,p_06,745.395,709.9
828-61-5674,p_04,462.21,440.2
136-08-6195,p_03,587.664,559.68
523-38-0215,p_03,38.85,37
490-29-1201,p_04,16.107,15.34
667-92-0055,p_01,628.929,598.98
565-17-3836,p_01,200.214,190.68
498-41-1961,p_01,350.07,333.4
593-95-4461,p_03,78.603,74.86
226-71-3580,p_04,224.4375,213.75
283-79-9594,p_05,356.5485,339.57
430-60-3493,p_03,697.368,664.16
139-20-0155,p_02,423.15,403
558-80-4082,p_02,204.6975,194.95
278-97-7759,p_02,65.604,62.48
316-68-6352,p_05,76.356,72.72
585-03-5943,p_01,190.155,181.1
211-05-0490,p_02,272.58,259.6
727-75-6477,p_02,121.128,115.36
744-02-5987,p_03,493.794,470.28
307-83-9164,p_03,252.042,240.04
779-06-0012,p_03,93.0405,88.61
446-47-6729,p_06,209.622,199.64
573-10-3877,p_01,40.9605,39.01
735-06-4124,p_05,51.0405,48.61
439-54-7422,p_02,214.998,204.76
396-90-2219,p_02,125.664,119.68
411-77-0180,p_02,530.67,505.4
286-01-5402,p_04,295.6905,281.61
803-17-8013,p_03,745.836,710.32
512-98-1403,p_02,83.412,79.44
848-42-2560,p_06,172.011,163.82
532-59-7201,p_04,503.559,479.58
181-94-6432,p_06,145.593,138.66
870-76-1733,p_05,74.7075,71.15
423-64-4619,p_01,146.9475,139.95
227-07-4446,p_02,820.365,781.3
174-36-3675,p_05,208.677,198.74
428-83-5800,p_05,66.402,63.24
603-07-0961,p_02,392.6475,373.95
704-20-4138,p_01,218.0745,207.69
787-15-1757,p_01,185.094,176.28
649-11-3678,p_05,216.6885,206.37
622-20-1945,p_01,41.391,39.42
372-94-8041,p_01,96.138,91.56
563-91-7120,p_06,324.2925,308.85
746-54-5508,p_03,135.576,129.12
276-54-0879,p_04,410.508,390.96
815-11-1168,p_05,523.845,498.9
719-76-3868,p_05,395.892,377.04
730-61-8757,p_01,214.746,204.52
340-66-0321,p_02,152.712,145.44
868-81-1752,p_03,208.089,198.18
634-97-8956,p_05,103.635,98.7
566-71-1091,p_06,404.355,385.1
442-48-3607,p_05,49.308,46.96
835-16-0096,p_04,77.175,73.5
527-09-6272,p_02,149.3625,142.25
898-04-2717,p_06,721.98,687.6
692-27-8933,p_04,365.085,347.7
633-09-3463,p_02,150.0975,142.95
374-17-3652,p_05,404.649,385.38
378-07-7001,p_02,151.4835,144.27
433-75-6987,p_01,411.3795,391.79
873-95-4984,p_01,565.215,538.3
416-13-5917,p_05,509.4075,485.15
150-89-8043,p_04,140.6475,133.95
135-84-8019,p_06,736.4385,701.37
441-94-7118,p_02,75.5475,71.95
725-96-3778,p_03,749.7,714
531-80-1784,p_02,191.247,182.14
400-45-1220,p_01,141.75,135
860-79-0874,p_06,1042.65,993
834-61-8124,p_02,379.9215,361.83
115-99-4379,p_06,402.2655,383.11
565-67-6697,p_03,255.15,243
320-49-6392,p_02,31.752,30.24
889-04-9723,p_05,374.388,356.56
632-90-0281,p_06,394.275,375.5
554-42-2417,p_04,1002.12,954.4
453-63-6187,p_02,86.625,82.5
578-80-7669,p_04,78.7185,74.97
612-36-5536,p_05,680.064,647.68
605-72-4132,p_05,793.548,755.76
471-41-2823,p_05,209.559,199.58
462-67-9126,p_03,461.286,439.32
272-27-9238,p_05,173.208,164.96
834-25-9262,p_06,343.056,326.72
122-61-9553,p_02,484.974,461.88
468-88-0009,p_03,276.948,263.76
613-59-9758,p_04,150.78,143.6
254-31-0042,p_02,203.175,193.5
201-86-2184,p_02,193.011,183.82
261-12-8671,p_06,128.016,121.92
730-70-9830,p_03,441.693,420.66
382-25-8917,p_06,265.104,252.48
422-29-8786,p_03,352.2225,335.45
667-23-5919,p_06,507.675,483.5
843-01-4703,p_03,334.341,318.42
743-88-1662,p_04,701.8515,668.43
595-86-2894,p_06,407.316,387.92
182-69-8360,p_02,99.33,94.6
289-15-7034,p_04,345.786,329.32
462-78-5240,p_02,55.881,53.22
868-52-7573,p_05,523.3725,498.45
153-58-4872,p_05,314.538,299.56
662-72-2873,p_05,214.935,204.7
525-88-7307,p_04,79.611,75.82
689-16-9784,p_05,294.651,280.62
725-56-0833,p_01,339.36,323.2
394-41-0748,p_06,510.9615,486.63
596-42-3999,p_05,133.917,127.54
541-89-9860,p_06,253.512,241.44
173-82-9529,p_06,398.475,379.5
563-36-9814,p_02,80.661,76.82
308-47-4913,p_04,548.73,522.6
885-17-6250,p_01,83.727,79.74
726-27-2396,p_01,406.875,387.5
316-01-3952,p_05,284.9175,271.35
760-54-1821,p_03,128.4255,122.31
793-10-3222,p_01,258.678,246.36
346-12-3257,p_02,181.818,173.16
110-05-6330,p_05,248.409,236.58
651-61-0874,p_03,194.124,184.88
236-86-3015,p_03,14.679,13.98
831-64-0259,p_06,208.6875,198.75
587-03-7455,p_06,718.7565,684.53
882-40-4577,p_04,282.492,269.04
732-67-5346,p_05,72.3975,68.95
725-32-9708,p_06,288.582,274.84
256-08-8343,p_03,237.426,226.12
372-26-1506,p_06,125.055,119.1
244-08-0162,p_01,359.205,342.1
569-71-4390,p_04,45.927,43.74
132-23-6451,p_01,110.0925,104.85
696-90-2548,p_04,81.396,77.52
472-15-9636,p_03,427.812,407.44
268-03-6164,p_01,100.9155,96.11
750-57-9686,p_03,190.596,181.52
186-09-3669,p_01,85.5855,81.51
848-07-1692,p_01,120.162,114.44
745-71-3520,p_02,185.367,176.54
266-76-6436,p_05,121.59,115.8
740-22-2500,p_02,264.7575,252.15
271-88-8734,p_06,1020.705,972.1
301-81-8610,p_06,213.528,203.36
489-64-4354,p_06,17.094,16.28
198-84-7132,p_06,383.7645,365.49
269-10-8440,p_01,390.7995,372.19
650-98-6268,p_05,65.7405,62.61
741-73-3559,p_04,353.1675,336.35
325-77-6186,p_03,951.825,906.5
286-75-7818,p_06,145.068,138.16
574-57-9721,p_05,90.867,86.54
459-50-7686,p_02,147.798,140.76
616-87-0016,p_06,702.219,668.78
837-55-7229,p_06,49.812,47.44
751-69-0068,p_04,937.818,893.16
257-73-1380,p_04,348.306,331.72
345-08-4992,p_03,214.137,203.94
549-96-4200,p_05,71.568,68.16
810-60-6344,p_02,343.224,326.88
450-28-2866,p_05,91.56,87.2
394-30-3170,p_04,742.812,707.44
138-17-5109,p_03,843.0345,802.89
192-98-7397,p_06,13.419,12.78
301-11-9629,p_04,140.385,133.7
390-80-5128,p_01,20.1075,19.15
235-46-8343,p_05,290.43,276.6
453-12-7053,p_06,144.081,137.22
296-11-7041,p_01,28.4235,27.07
449-27-2918,p_04,41.076,39.12
891-01-7034,p_02,470.673,448.26
744-09-5786,p_02,138.663,132.06
727-17-0390,p_05,333.9525,318.05
568-88-3448,p_01,26.25,25
187-83-5490,p_02,87.234,83.08
767-54-1907,p_06,155.19,147.8
710-46-4433,p_05,731.43,696.6
533-33-5337,p_02,833.595,793.9
325-90-8763,p_02,488.985,465.7
729-46-7422,p_05,37.6845,35.89
639-76-1242,p_05,212.73,202.6
234-03-4040,p_05,767.025,730.5
326-71-2155,p_04,310.59,295.8
320-32-8842,p_05,23.751,22.62
470-32-9057,p_05,269.535,256.7
878-30-2331,p_04,572.775,545.5
440-59-5691,p_01,273.0525,260.05
554-53-3790,p_04,233.226,222.12
746-19-0921,p_05,22.659,21.58
233-34-0817,p_02,103.782,98.84
767-05-1286,p_03,527.751,502.62
340-21-9136,p_04,168.21,160.2
405-31-3305,p_06,452.865,431.3
731-59-7531,p_01,609.588,580.56
676-39-6028,p_02,338.31,322.2
502-05-1910,p_01,205.317,195.54
485-30-8700,p_04,174.615,166.3
598-47-9715,p_02,353.094,336.28
701-69-8742,p_04,360.885,343.7
575-67-1508,p_02,40.53,38.6
541-08-3113,p_05,554.148,527.76
246-11-3901,p_02,344.4,328
674-15-9296,p_04,194.985,185.7
305-18-3552,p_03,633.99,603.8
493-65-6248,p_04,388.29,369.8
438-01-4015,p_04,207.858,197.96
709-58-4068,p_06,431.445,410.9
795-49-7276,p_06,156.03,148.6
556-72-8512,p_03,24.108,22.96
627-95-3243,p_03,734.076,699.12
686-41-0932,p_06,72.87,69.4
510-09-5628,p_06,206.43,196.6
608-04-3797,p_01,212.688,202.56
148-82-2527,p_03,127.26,121.2
437-53-3084,p_06,209.769,199.78
632-32-4574,p_04,637.728,607.36
556-97-7101,p_02,132.762,126.44
862-59-8517,p_05,568.512,541.44
401-18-8016,p_04,103.0365,98.13
420-18-8989,p_04,432.768,412.16
277-63-2961,p_04,77.6685,73.97
573-98-8548,p_06,33.495,31.9
620-02-2046,p_03,145.74,138.8
282-35-2475,p_04,195.951,186.62
511-54-3087,p_04,92.8725,88.45
726-29-6793,p_02,203.112,193.44
387-49-4215,p_04,152.775,145.5
862-17-9201,p_05,529.515,504.3
291-21-5991,p_01,321.7725,306.45
602-80-9671,p_03,100.485,95.7
347-72-6115,p_04,666.939,635.18
209-61-0206,p_03,225.2775,214.55
595-27-4851,p_06,398.958,379.96
189-52-0236,p_02,731.6925,696.85
503-07-0930,p_04,429.1665,408.73
413-20-6708,p_06,54.0435,51.47
425-85-2085,p_01,288.015,274.3
521-18-7827,p_03,206.7975,196.95
220-28-1851,p_03,72.933,69.46
600-38-9738,p_04,377.58,359.6
734-91-1155,p_02,143.9865,137.13
451-28-5717,p_03,523.971,499.02
609-81-8548,p_03,235.872,224.64
133-14-7229,p_01,132.027,125.74
534-01-4457,p_05,514.773,490.26
719-89-8991,p_04,479.9025,457.05
286-62-6248,p_06,164.682,156.84
339-38-9982,p_06,125.706,119.72
827-44-5872,p_05,570.78,543.6
827-77-7633,p_04,926.9505,882.81
287-83-1405,p_01,160.209,152.58
435-13-4908,p_06,728.112,693.44
857-67-9057,p_02,240.975,229.5
236-27-1144,p_05,154.1295,146.79
892-05-6689,p_03,148.68,141.6
583-41-4548,p_03,122.5245,116.69
339-12-4827,p_06,77.658,73.96
643-38-7867,p_03,102.837,97.94
308-81-0538,p_06,306.81,292.2
358-88-9262,p_05,551.124,524.88
460-35-4390,p_03,96.642,92.04
343-87-0864,p_01,79.674,75.88
173-50-1108,p_04,84.756,80.72
243-47-2663,p_02,118.251,112.62
841-18-8232,p_05,74.76,71.2
701-23-5550,p_03,163.002,155.24
647-50-1224,p_06,308.91,294.2
541-48-8554,p_04,575.9775,548.55
539-21-7227,p_04,270.585,257.7
213-32-1216,p_02,416.178,396.36
747-58-7183,p_06,180.4005,171.81
582-52-8065,p_06,513.2295,488.79
210-57-1719,p_01,550.368,524.16
399-69-4630,p_02,139.923,133.26
134-75-2619,p_02,142.002,135.24
356-44-8813,p_03,118.062,112.44
198-66-9832,p_06,151.284,144.08
283-26-5248,p_05,1034.46,985.2
712-39-0363,p_05,262.458,249.96
218-59-9410,p_03,228.123,217.26
174-75-0888,p_02,203.931,194.22
866-99-7614,p_05,936.6,892
134-54-4720,p_02,356.328,339.36
760-90-2357,p_02,469.413,447.06
514-37-2845,p_06,208.425,198.5
698-98-5964,p_05,852.705,812.1
718-57-9773,p_04,517.965,493.3
651-88-7328,p_06,621.243,591.66
241-11-2261,p_06,586.971,559.02
408-26-9866,p_04,543.753,517.86
834-83-1826,p_03,430.71,410.2
343-61-3544,p_04,280.035,266.7
239-48-4278,p_05,74.4555,70.91
355-34-6244,p_05,152.019,144.78
550-84-8664,p_04,451.0275,429.55
339-96-8318,p_06,597.6285,569.17
458-61-0011,p_05,253.26,241.2
592-34-6155,p_05,133.434,127.08
797-88-0493,p_01,269.934,257.08
207-73-1363,p_01,145.971,139.02
390-31-6381,p_05,85.743,81.66
443-82-0585,p_01,326.256,310.72
339-18-7061,p_06,195.258,185.96
359-90-3665,p_06,75.936,72.32
375-72-3056,p_04,198.639,189.18
127-47-6963,p_01,217.182,206.84
278-86-2735,p_05,164.871,157.02
695-28-6250,p_04,226.065,215.3
379-17-6588,p_06,625.905,596.1
227-50-3718,p_01,76.755,73.1
302-15-2162,p_01,293.139,279.18
788-07-8452,p_03,178.164,169.68
560-49-6611,p_04,47.859,45.58
880-35-0356,p_04,236.88,225.6
585-11-6748,p_04,304.92,290.4
470-31-3286,p_01,46.683,44.46
152-68-2907,p_05,164.43,156.6
123-35-4896,p_04,440.937,419.94
258-69-7810,p_06,193.4625,184.25
334-64-2006,p_03,147.672,140.64
219-61-4139,p_02,87.234,83.08
881-41-7302,p_06,68.2395,64.99
373-09-4567,p_05,814.38,775.6
642-30-6693,p_04,343.413,327.06
484-22-8230,p_06,381.3915,363.23
830-58-2383,p_03,133.35,127
559-98-9873,p_06,394.3275,375.55
544-32-5024,p_05,209.118,199.16
318-12-0304,p_06,32.1405,30.61
349-97-8902,p_05,121.569,115.78
421-95-9805,p_02,30.408,28.96
277-35-5865,p_05,935.2665,890.73
789-23-8625,p_06,293.643,279.66
284-54-4231,p_04,84.9765,80.93
443-59-0061,p_05,708.225,674.5
509-29-3912,p_04,365.904,348.48
327-40-9673,p_04,457.38,435.6
840-19-2096,p_02,461.5275,439.55
828-46-6863,p_05,620.739,591.18
641-96-3695,p_06,273.798,260.76
420-97-3340,p_05,225.792,215.04
436-54-4512,p_05,96.1905,91.61
670-79-6321,p_03,695.2365,662.13
852-62-7105,p_06,874.125,832.5
598-06-7312,p_06,95.9175,91.35
135-13-8269,p_05,165.648,157.76
816-57-2053,p_04,127.827,121.74
628-90-8624,p_01,867.09,825.8
856-66-2701,p_03,167.895,159.9
308-39-1707,p_06,12.6945,12.09
149-61-1929,p_04,673.995,641.9
655-07-2265,p_02,246.6765,234.93
589-02-8023,p_05,175.917,167.54
420-04-7590,p_03,314.055,299.1
182-88-2763,p_05,251.7165,239.73
188-55-0967,p_01,697.935,664.7
610-46-4100,p_01,212.7825,202.65
318-81-2368,p_02,48.51,46.2
364-33-8584,p_05,92.5575,88.15
665-63-9737,p_06,165.123,157.26
695-09-5146,p_05,311.1885,296.37
155-45-3814,p_02,743.82,708.4
794-32-2436,p_02,116.907,111.34
131-15-8856,p_05,609.168,580.16
273-84-2164,p_02,63.2625,60.25
706-36-6154,p_03,182.952,174.24
778-89-7974,p_01,442.323,421.26
574-31-8277,p_06,35.3115,33.63
859-71-0933,p_04,32.529,30.98
740-11-5257,p_02,259.77,247.4
369-82-2676,p_02,397.215,378.3
563-47-4072,p_01,351.603,334.86
742-04-5161,p_03,764.19,727.8
149-15-7606,p_04,352.674,335.88
133-77-3154,p_06,252.756,240.72
169-52-4504,p_02,49.4235,47.07
250-81-7186,p_02,104.6745,99.69
562-12-5430,p_06,277.6725,264.45
816-72-8853,p_04,146.6325,139.65
491-38-3499,p_06,58.2225,55.45
322-02-2271,p_04,135.3555,128.91
842-29-4695,p_04,125.979,119.98
725-67-2480,p_06,370.125,352.5
641-51-2661,p_05,914.55,871
714-02-3114,p_04,207.48,197.6
518-17-2983,p_06,204.246,194.52
779-42-2410,p_05,181.881,173.22
190-14-3147,p_01,75.474,71.88
408-66-6712,p_01,300.573,286.26
679-22-6530,p_04,85.302,81.24
588-47-8641,p_06,588.42,560.4
642-61-4706,p_05,196.14,186.8
576-31-4774,p_01,231.2415,220.23
556-41-6224,p_01,282.576,269.12
811-03-8790,p_02,477.54,454.8
242-11-3142,p_06,175.917,167.54
752-23-3760,p_04,470.988,448.56
274-05-5470,p_05,308.574,293.88
648-94-3045,p_01,618.975,589.5
130-67-4723,p_05,305.55,291
528-87-5606,p_02,41.454,39.48
320-85-2052,p_04,36.5505,34.81
370-96-0655,p_06,310.716,295.92
105-10-6182,p_06,45.108,42.96
510-79-0415,p_04,145.404,138.48
241-96-5076,p_03,103.11,98.2
767-97-4650,p_04,136.143,129.66
648-83-1321,p_03,667.38,635.6
173-57-2300,p_04,153.048,145.76
305-03-2383,p_05,211.365,201.3
394-55-6384,p_04,663.2955,631.71
266-20-6657,p_05,404.544,385.28
689-05-1884,p_01,510.615,486.3
196-01-2849,p_06,539.343,513.66
372-62-5264,p_05,497.07,473.4
800-09-8606,p_03,458.6925,436.85
182-52-7000,p_04,113.568,108.16
826-58-8051,p_03,261.198,248.76
868-06-0466,p_02,657.531,626.22
751-41-9720,p_03,1023.75,975
626-43-7888,p_06,507.444,483.28
176-64-7711,p_05,101.808,96.96
191-29-0321,p_06,207.585,197.7
729-06-2010,p_01,760.4415,724.23
640-48-5028,p_03,835.2855,795.51
186-79-9562,p_01,527.5095,502.39
834-45-5519,p_02,180.6,172
162-65-8559,p_05,72.429,68.98
760-27-5490,p_06,131.208,124.96
445-30-9252,p_04,80.955,77.1
786-94-2700,p_05,507.906,483.72
728-88-7867,p_03,317.226,302.12
183-21-3799,p_02,733.6035,698.67
268-20-3585,p_01,130.8825,124.65
735-32-9839,p_06,829.08,789.6
258-92-7466,p_01,187.32,178.4
857-16-3520,p_06,525.231,500.22
482-17-1179,p_02,37.611,35.82
788-21-5741,p_06,142.947,136.14
821-14-9046,p_06,110.124,104.88
418-05-0656,p_06,187.866,178.92
678-79-0726,p_04,856.4535,815.67
776-68-1096,p_03,138.978,132.36
592-46-1692,p_05,270.2595,257.39
434-35-9162,p_05,98.028,93.36
149-14-0304,p_01,239.4,228
442-44-6497,p_03,175.0455,166.71
174-64-0215,p_04,732.27,697.4
