city,sales,volume,median,listings,inventory,date
Abilene,119,9810000,70400,682,4.9,2004/02/01
Abilene,169,13635000,63900,668,4.7,2004/03/01
Abilene,171,14475000,68600,696,4.7,2004/04/01
Abilene,159,13085000,71700,752,5.1,2004/05/01
Abilene,179,16255000,79600,720,4.7,2004/06/01
Abilene,176,16685000,82000,701,4.6,2004/07/01
Abilene,190,19190000,91800,686,4.5,2004/08/01
Abilene,142,12325000,74700,677,4.4,2004/09/01
Abilene,144,12620000,81000,663,4.4,2004/10/01
Abilene,138,12375000,77500,630,4.1,2004/11/01
Abilene,146,12270000,71100,600,3.9,2004/12/01
Abilene,119,10255000,74200,570,3.7,2005/01/01
Abilene,130,11770000,74300,581,3.7,2005/02/01
Abilene,170,14470000,71300,661,4.3,2005/03/01
Abilene,171,16355000,80300,650,4.2,2005/04/01
Abilene,176,18080000,87100,660,4.2,2005/05/01
Abilene,230,24050000,92500,664,4.1,2005/06/01
Abilene,177,18495000,93500,657,4.1,2005/07/01
Abilene,216,24065000,97500,638,3.9,2005/08/01
Abilene,165,17145000,92800,644,3.9,2005/09/01
Abilene,161,16365000,92300,601,3.6,2005/10/01
Abilene,137,13390000,92800,496,3,2005/11/01
Abilene,125,14415000,102500,522,3.2,2005/12/01
Abilene,107,11890000,90800,559,3.4,2006/01/01
Abilene,152,16875000,98200,561,3.4,2006/02/01
Abilene,155,18030000,105400,NA,NA,2006/03/01
Abilene,172,17955000,1.00E+05,683,4.2,2006/04/01
Abilene,179,20400000,103000,736,4.5,2006/05/01
Abilene,225,26620000,99800,786,4.8,2006/06/01
Abilene,169,19160000,93200,804,4.9,2006/07/01
Abilene,220,25735000,104000,812,5,2006/08/01
Abilene,159,19850000,109500,817,5,2006/09/01
Abilene,156,17100000,97100,797,4.9,2006/10/01
Abilene,146,15930000,99400,792,4.8,2006/11/01
Abilene,157,17985000,103100,724,4.4,2006/12/01
Abilene,132,13335000,91700,746,4.4,2007/01/01
Abilene,140,16105000,1.00E+05,774,4.6,2007/02/01
Abilene,212,20410000,86500,816,4.7,2007/03/01
Abilene,192,20090000,89100,807,4.6,2007/04/01
Abilene,213,24410000,99500,849,4.8,2007/05/01
Abilene,212,27605000,121200,872,5,2007/06/01
Abilene,239,29315000,114300,940,5.2,2007/07/01
Abilene,196,25015000,113700,948,5.3,2007/08/01
Abilene,127,16588549,111500,932,5.3,2007/09/01
Abilene,134,16036403,110700,932,5.3,2007/10/01
Abilene,107,12017671,102600,892,5.2,2007/11/01
Abilene,99,11134962,103000,856,5.1,2007/12/01
Abilene,84,9089942,88800,859,5.3,2008/01/01
Abilene,127,15970270,111900,899,5.6,2008/02/01
Abilene,147,15496685,97500,923,5.9,2008/03/01
Abilene,161,18288157,106900,941,6.1,2008/04/01
Abilene,182,21314933,104000,951,6.3,2008/05/01
Abilene,180,21146068,110400,1000,6.7,2008/06/01
Abilene,171,19502253,106400,1013,7.1,2008/07/01
Abilene,131,16067354,111200,966,7,2008/08/01
Abilene,141,15643014,106900,992,7.2,2008/09/01
Abilene,116,15057270,131600,860,6.3,2008/10/01
Abilene,94,10792418,1.00E+05,863,6.3,2008/11/01
Abilene,117,14151971,110000,821,6,2008/12/01
Abilene,70,8414801,92900,861,6.3,2009/01/01
Abilene,106,10921111,95700,869,6.5,2009/02/01
Abilene,131,15148755,106400,891,6.7,2009/03/01
Abilene,157,19565825,113800,890,6.7,2009/04/01
Abilene,143,16596602,105500,911,7,2009/05/01
Abilene,187,25342963,119300,802,6.2,2009/06/01
Abilene,158,21925623,126200,808,6.3,2009/07/01
Abilene,149,17827080,106900,785,6,2009/08/01
Abilene,128,16222840,111200,745,5.7,2009/09/01
Abilene,151,18076723,96800,734,5.5,2009/10/01
Abilene,130,16724086,114300,737,5.4,2009/11/01
Abilene,124,15591347,111400,705,5.2,2009/12/01
Abilene,73,9130783,112200,868,6.4,2010/01/01
Abilene,93,10372904,98300,830,6.1,2010/02/01
Abilene,133,16517713,114000,854,6.3,2010/03/01
Abilene,161,18788002,103600,859,6.3,2010/04/01
Abilene,200,22804393,99300,914,6.5,2010/05/01
Abilene,169,23216943,127900,932,6.7,2010/06/01
Abilene,159,22363123,127300,915,6.6,2010/07/01
Abilene,144,17504580,122000,936,6.7,2010/08/01
Abilene,116,15475763,121300,899,6.5,2010/09/01
Abilene,111,14570529,111900,863,6.4,2010/10/01
Abilene,115,11422741,87900,851,6.4,2010/11/01
Abilene,116,15289470,118300,830,6.3,2010/12/01
Abilene,68,8834493,123300,809,6.1,2011/01/01
Abilene,85,10250107,111200,822,6.3,2011/02/01
Abilene,131,16047423,110000,857,6.5,2011/03/01
Abilene,148,17453429,112000,855,6.6,2011/04/01
Abilene,181,22374531,115300,863,6.7,2011/05/01
Abilene,213,26635498,105400,840,6.4,2011/06/01
Abilene,172,22734236,117900,848,6.4,2011/07/01
Abilene,184,22066503,99000,795,5.8,2011/08/01
Abilene,138,19329727,121400,763,5.5,2011/09/01
Abilene,146,18916970,111100,743,5.3,2011/10/01
Abilene,125,17679449,127300,712,5,2011/11/01
Abilene,128,17843463,120000,693,4.8,2011/12/01
Abilene,95,11371474,105600,703,4.8,2012/01/01
Abilene,142,16905161,102000,720,4.8,2012/02/01
Abilene,172,20922281,112000,723,4.7,2012/03/01
Abilene,170,20909533,104400,722,4.6,2012/04/01
Abilene,211,28521200,111600,1125,7.1,2012/05/01
Abilene,188,25629200,120000,1176,7.5,2012/06/01
Abilene,183,26033906,127500,1176,7.5,2012/07/01
Abilene,220,31687638,130600,1132,7.1,2012/08/01
Abilene,146,19821491,123200,1095,6.8,2012/09/01
Abilene,191,24016275,103200,1075,6.5,2012/10/01
Abilene,142,19753059,125900,1036,6.3,2012/11/01
Abilene,156,19985676,106200,952,5.7,2012/12/01
Abilene,114,15794494,125300,966,5.7,2013/01/01
Abilene,140,16552641,94400,943,5.6,2013/02/01
Abilene,164,19609711,102500,958,5.7,2013/03/01
Abilene,213,27261796,113700,948,5.5,2013/04/01
Abilene,225,31901380,130000,923,5.3,2013/05/01
Abilene,209,29454125,127300,960,5.5,2013/06/01
Abilene,218,32547446,140000,969,5.4,2013/07/01
Abilene,236,30777727,120000,976,5.4,2013/08/01
Abilene,195,26237106,127500,985,5.4,2013/09/01
Abilene,167,21781187,119000,993,5.5,2013/10/01
Abilene,145,19950273,113200,946,5.2,2013/11/01
Abilene,145,18412418,104700,938,5.2,2013/12/01
Abilene,115,15391738,117000,922,5.1,2014/01/01
Abilene,137,17944719,127600,906,5,2014/02/01
Abilene,165,21615979,112400,929,5.1,2014/03/01
Abilene,178,25070931,124500,965,5.4,2014/04/01
Abilene,191,26615130,129300,1001,5.7,2014/05/01
Abilene,230,34398506,135200,1023,5.8,2014/06/01
Abilene,231,35861350,145800,1033,5.8,2014/07/01
Abilene,203,29671329,129200,1024,5.8,2014/08/01
Abilene,201,30904319,135900,1012,5.8,2014/09/01
Abilene,190,25431388,122400,987,5.6,2014/10/01
Abilene,158,24120554,132200,941,5.3,2014/11/01
Abilene,165,23959468,130000,823,4.6,2014/12/01
Abilene,158,23486998,134100,801,4.4,2015/01/01
Abilene,151,19834263,126500,767,4.1,2015/02/01
Abilene,198,31869437,136800,821,4.4,2015/03/01
Abilene,201,28301159,129600,891,4.7,2015/04/01
Abilene,199,31385757,144700,919,4.8,2015/05/01
Abilene,260,41396230,141500,965,5,2015/06/01
Abilene,268,45845730,148700,986,5,2015/07/01
Amarillo,102,8860000,80000,972,5.3,2000/01/01
Amarillo,147,13875000,78300,937,5.1,2000/02/01
Amarillo,201,17930000,74800,995,5.5,2000/03/01
Amarillo,176,16955000,87700,985,5.5,2000/04/01
Amarillo,198,19420000,81100,1020,5.6,2000/05/01
Amarillo,206,20035000,84100,1055,5.9,2000/06/01
Amarillo,190,20430000,94300,1193,6.8,2000/07/01
Amarillo,242,25995000,95300,1208,6.6,2000/08/01
Amarillo,158,1.60E+07,91000,1248,6.9,2000/09/01
Amarillo,165,16810000,89000,1191,6.7,2000/10/01
Amarillo,133,13955000,87300,1174,6.7,2000/11/01
Amarillo,158,15800000,88300,1092,6.3,2000/12/01
Amarillo,134,14445000,89000,1087,6.2,2001/01/01
Amarillo,157,15345000,87100,1037,5.9,2001/02/01
Amarillo,187,19260000,86300,1030,5.9,2001/03/01
Amarillo,199,21740000,93200,1055,6,2001/04/01
Amarillo,225,22225000,88300,1064,5.9,2001/05/01
Amarillo,242,25135000,91200,1092,6,2001/06/01
Amarillo,210,2.50E+07,97100,1141,6.2,2001/07/01
Amarillo,259,29150000,93900,1144,6.2,2001/08/01
Amarillo,183,19035000,87600,1137,6.1,2001/09/01
Amarillo,211,22530000,88400,1137,5.9,2001/10/01
Amarillo,170,18875000,90000,1137,5.8,2001/11/01
Amarillo,166,18270000,96000,1072,5.5,2001/12/01
Amarillo,146,14955000,83300,1071,5.5,2002/01/01
Amarillo,182,18440000,86400,1090,5.5,2002/02/01
Amarillo,200,20235000,85300,1046,5.2,2002/03/01
Amarillo,209,21345000,89100,1106,5.5,2002/04/01
Amarillo,198,21420000,95600,1140,5.8,2002/05/01
Amarillo,220,25025000,97700,1191,6.1,2002/06/01
Amarillo,213,23185000,99600,1266,6.4,2002/07/01
Amarillo,193,21345000,93900,1256,6.6,2002/08/01
Amarillo,186,22045000,95800,1214,6.4,2002/09/01
Amarillo,176,21245000,91900,1242,6.6,2002/10/01
Amarillo,173,19605000,95000,1249,6.6,2002/11/01
Amarillo,153,14150000,79600,1205,6.4,2002/12/01
Amarillo,165,14985000,79600,1205,6.4,2003/01/01
Amarillo,176,17255000,86700,1173,6.2,2003/02/01
Amarillo,203,22330000,95500,1293,6.9,2003/03/01
Amarillo,220,23455000,88900,1279,6.7,2003/04/01
Amarillo,264,28375000,98300,1360,7,2003/05/01
Amarillo,260,30990000,108900,1382,7,2003/06/01
Amarillo,296,32085000,93500,1412,6.9,2003/07/01
Amarillo,288,35820000,107400,1422,6.7,2003/08/01
Amarillo,287,30035000,91900,1406,6.3,2003/09/01
Amarillo,238,26325000,95600,1387,6.1,2003/10/01
Amarillo,212,23395000,95000,1349,5.9,2003/11/01
Amarillo,219,22975000,90900,1242,5.3,2003/12/01
Amarillo,181,20110000,90400,1215,5.1,2004/01/01
Amarillo,227,23885000,94500,1219,5.1,2004/02/01
Amarillo,248,27265000,93500,1186,4.8,2004/03/01
Amarillo,274,30270000,95500,1196,4.8,2004/04/01
Amarillo,289,32160000,94400,1199,4.8,2004/05/01
Amarillo,322,38385000,99600,1248,4.9,2004/06/01
Amarillo,320,39300000,106100,1250,4.8,2004/07/01
Amarillo,263,30490000,98400,1246,4.9,2004/08/01
Amarillo,266,30635000,89700,1241,4.9,2004/09/01
Amarillo,210,24165000,98000,1196,4.7,2004/10/01
Amarillo,228,24865000,97700,1154,4.5,2004/11/01
Amarillo,229,29985000,105500,1090,4.3,2004/12/01
Amarillo,218,24070000,93900,1072,4.2,2005/01/01
Amarillo,238,29525000,108300,1079,4.2,2005/02/01
Amarillo,268,33065000,109200,1023,3.9,2005/03/01
Amarillo,284,33030000,97700,1082,4.1,2005/04/01
Amarillo,312,40885000,112700,1132,4.3,2005/05/01
Amarillo,340,46910000,117000,1156,4.4,2005/06/01
Amarillo,314,37715000,107200,1221,4.6,2005/07/01
Amarillo,317,42500000,112600,1224,4.6,2005/08/01
Amarillo,309,41940000,111800,1201,4.4,2005/09/01
Amarillo,67,7225000,87000,NA,NA,2005/10/01
Amarillo,235,30815000,112400,1240,4.8,2005/11/01
Amarillo,211,25900000,102500,1121,4.3,2005/12/01
Amarillo,156,20680000,115000,1181,4.6,2006/01/01
Amarillo,242,32575000,110700,1183,4.6,2006/02/01
Amarillo,321,4.10E+07,105100,1238,4.8,2006/03/01
Amarillo,251,31135000,108700,1248,4.9,2006/04/01
Amarillo,348,4.90E+07,123000,1286,5,2006/05/01
Amarillo,345,46755000,120700,NA,NA,2006/06/01
Amarillo,324,46595000,124300,1439,5.5,2006/07/01
Amarillo,362,50930000,122200,1511,5.7,2006/08/01
Amarillo,288,37365000,114100,NA,NA,2006/09/01
Amarillo,301,37585000,107400,1435,5.1,2006/10/01
Amarillo,235,31405000,114200,1393,4.9,2006/11/01
Amarillo,272,32930000,105200,1252,4.4,2006/12/01
Amarillo,179,22380000,112600,1304,4.5,2007/01/01
Amarillo,265,31655000,105000,1273,4.4,2007/02/01
Amarillo,277,37430000,117100,1311,4.6,2007/03/01
Amarillo,285,37810000,118400,1313,4.5,2007/04/01
Amarillo,351,46910000,113800,1408,4.8,2007/05/01
Amarillo,348,50975000,117700,1458,5,2007/06/01
Amarillo,326,4.50E+07,114400,1549,5.3,2007/07/01
Amarillo,315,50625000,133100,1584,5.5,2007/08/01
Amarillo,242,34370000,121800,1578,5.6,2007/09/01
Amarillo,243,33060000,116100,1513,5.4,2007/10/01
Amarillo,253,32910000,114800,NA,NA,2007/11/01
Amarillo,216,31950000,129000,1373,5,2007/12/01
Amarillo,187,26055000,123600,1421,5.2,2008/01/01
Amarillo,274,37900000,122700,1413,5.1,2008/02/01
Amarillo,264,36825000,122300,1336,4.9,2008/03/01
Amarillo,299,45755000,124900,1387,5,2008/04/01
Amarillo,291,41435000,122200,1498,5.5,2008/05/01
Amarillo,296,42955000,122600,1519,5.7,2008/06/01
Amarillo,324,45600000,123100,1564,5.9,2008/07/01
Amarillo,284,40730000,129500,1519,5.7,2008/08/01
Amarillo,254,38575000,132700,1480,5.6,2008/09/01
Amarillo,226,34800000,130000,1474,5.6,2008/10/01
Amarillo,140,19235000,116500,1471,5.8,2008/11/01
Amarillo,170,22755000,117900,1437,5.7,2008/12/01
Amarillo,151,22330000,127300,1430,5.8,2009/01/01
Amarillo,179,24005000,118800,1458,6.1,2009/02/01
Amarillo,202,27975000,121200,1470,6.3,2009/03/01
Amarillo,227,31570000,126000,1533,6.7,2009/04/01
Amarillo,247,36520000,129500,1506,6.7,2009/05/01
Amarillo,307,46045000,126000,1543,6.8,2009/06/01
Amarillo,254,36730000,124600,1588,7.2,2009/07/01
Amarillo,246,34305000,124700,1589,7.3,2009/08/01
Amarillo,251,32745000,117600,1520,7,2009/09/01
Amarillo,266,37810000,123700,1470,6.7,2009/10/01
Amarillo,263,37462352,123500,1360,5.9,2009/11/01
Amarillo,204,28945000,116500,1261,5.4,2009/12/01
Amarillo,107,16555053,131200,1311,5.7,2010/01/01
Amarillo,178,23246256,115000,1338,5.8,2010/02/01
Amarillo,203,26989053,113500,1472,6.4,2010/03/01
Amarillo,293,39634272,122800,1474,6.3,2010/04/01
Amarillo,333,45797490,122100,NA,NA,2010/05/01
Amarillo,272,42959136,139400,1449,6.1,2010/06/01
Amarillo,182,25534386,126200,1643,7,2010/07/01
Amarillo,247,42336958,130300,1592,6.8,2010/08/01
Amarillo,205,28885143,125800,1550,6.8,2010/09/01
Amarillo,216,31979853,125500,1527,6.8,2010/10/01
Amarillo,135,20171558,130700,1341,6.2,2010/11/01
Amarillo,185,24975000,118900,1381,6.5,2010/12/01
Amarillo,122,16986129,122700,1480,6.9,2011/01/01
Amarillo,153,21097782,113800,1409,6.6,2011/02/01
Amarillo,221,31326971,123500,1435,6.7,2011/03/01
Amarillo,226,34340022,126200,1470,7.1,2011/04/01
Amarillo,239,34842734,126600,1507,7.5,2011/05/01
Amarillo,276,43981120,136000,1513,7.5,2011/06/01
Amarillo,267,39229851,124400,1511,7.3,2011/07/01
Amarillo,390,40411846,137100,1534,7,2011/08/01
Amarillo,202,30498652,128000,1496,6.8,2011/09/01
Amarillo,221,33245352,126800,1147,5.2,2011/10/01
Amarillo,196,30877378,128100,1328,5.9,2011/11/01
Amarillo,192,28348675,126700,1153,5.1,2011/12/01
Amarillo,143,20409784,125500,1302,5.7,2012/01/01
Amarillo,162,22084286,122500,1277,5.6,2012/02/01
Amarillo,248,36909154,131000,1315,5.7,2012/03/01
Amarillo,251,36550052,132100,1355,5.8,2012/04/01
Amarillo,256,47384870,145000,1373,5.9,2012/05/01
Amarillo,320,47567541,131500,1400,5.9,2012/06/01
Amarillo,268,43218765,139300,1446,6.1,2012/07/01
Amarillo,302,51381019,141800,1377,6,2012/08/01
Amarillo,265,41571476,136600,1335,5.7,2012/09/01
Amarillo,242,39504208,138500,1309,5.5,2012/10/01
Amarillo,248,36918379,121500,1252,5.2,2012/11/01
Amarillo,228,35395056,128300,1124,4.6,2012/12/01
Amarillo,187,26444725,115000,1215,4.9,2013/01/01
Amarillo,175,26609836,127700,1184,4.8,2013/02/01
Amarillo,252,38218836,126200,1130,4.5,2013/03/01
Amarillo,302,46774790,138900,1209,4.8,2013/04/01
Amarillo,304,47772765,137900,1346,5.2,2013/05/01
Amarillo,275,45613832,145100,1366,5.4,2013/06/01
Amarillo,308,50658875,149700,1374,5.3,2013/07/01
Amarillo,287,48385038,145600,1385,5.4,2013/08/01
Amarillo,257,42851137,139700,1367,5.4,2013/09/01
Amarillo,256,42109011,143700,1296,5.1,2013/10/01
Amarillo,209,35271731,132400,1229,4.9,2013/11/01
Amarillo,245,40478351,142200,1146,4.5,2013/12/01
Amarillo,164,30053425,137500,1183,4.7,2014/01/01
Amarillo,205,32266720,139000,1146,4.5,2014/02/01
Amarillo,244,37477782,138100,1160,4.6,2014/03/01
Amarillo,260,44299103,139400,1202,4.8,2014/04/01
Amarillo,290,46266884,137000,1243,5,2014/05/01
Amarillo,351,59577665,145700,1304,5.1,2014/06/01
Amarillo,305,54629643,150900,1352,5.3,2014/07/01
Amarillo,279,49714220,152500,1337,5.2,2014/08/01
Amarillo,272,45370534,136700,1284,5,2014/09/01
Amarillo,267,43330229,141100,1291,5,2014/10/01
Amarillo,226,36158899,137900,1212,4.7,2014/11/01
Amarillo,239,42276704,145200,1106,4.3,2014/12/01
Amarillo,204,33188726,138500,1120,4.3,2015/01/01
Amarillo,188,34355428,149400,1084,4.2,2015/02/01
Amarillo,317,53603130,140900,1051,3.9,2015/03/01
Amarillo,314,50570482,147200,1041,3.8,2015/04/01
Amarillo,339,61402581,157900,1085,3.9,2015/05/01
Amarillo,342,61748196,152100,1213,4.4,2015/06/01
Amarillo,354,62261916,149700,1247,4.5,2015/07/01
Arlington,241,26220683,94000,1417,3.7,2000/01/01
Arlington,337,36618555,94300,1402,3.6,2000/02/01
Arlington,493,56714365,98700,1347,3.4,2000/03/01
Arlington,456,54108160,99000,1346,3.4,2000/04/01
Arlington,498,58688050,103000,1360,3.4,2000/05/01
Arlington,491,61753364,107900,1421,3.5,2000/06/01
Arlington,446,54540495,105800,1434,3.6,2000/07/01
Arlington,507,60875199,103400,1417,3.5,2000/08/01
Arlington,407,52509988,110500,1418,3.5,2000/09/01
Arlington,392,48300376,104100,1418,3.4,2000/10/01
Arlington,338,41776960,107700,1370,3.3,2000/11/01
Arlington,363,46705325,105700,1306,3.2,2000/12/01
Arlington,266,34187727,105700,1428,3.4,2001/01/01
Arlington,402,48908661,106400,1466,3.5,2001/02/01
Arlington,481,61799819,109700,1516,3.6,2001/03/01
Arlington,487,63515514,111600,1517,3.6,2001/04/01
Arlington,536,69878959,114400,1592,3.7,2001/05/01
Arlington,534,67744182,108500,1627,3.8,2001/06/01
Arlington,500,66350350,116000,1693,3.9,2001/07/01
Arlington,505,65080743,113600,1616,3.7,2001/08/01
Arlington,442,56728723,112000,1656,3.8,2001/09/01
Arlington,407,51328965,113200,1647,3.8,2001/10/01
Arlington,425,53024458,111700,1583,3.6,2001/11/01
Arlington,353,47654250,116400,1464,3.3,2001/12/01
Arlington,314,39966772,112000,1542,3.4,2002/01/01
Arlington,378,46058048,107500,1653,3.7,2002/02/01
Arlington,461,58346224,113700,1643,3.7,2002/03/01
Arlington,468,61356437,111800,1683,3.8,2002/04/01
Arlington,503,67240236,116100,1741,3.9,2002/05/01
Arlington,495,64673182,116300,1811,4.1,2002/06/01
Arlington,509,66954143,119100,1925,4.4,2002/07/01
Arlington,467,62199241,117200,1909,4.4,2002/08/01
Arlington,426,54118102,116100,1955,4.5,2002/09/01
Arlington,423,56866208,116000,2050,4.7,2002/10/01
Arlington,368,47740480,116600,1999,4.6,2002/11/01
Arlington,391,49595229,117100,1976,4.6,2002/12/01
Arlington,335,42505826,114500,2155,5,2003/01/01
Arlington,370,51593837,119500,2194,5,2003/02/01
Arlington,459,59668872,119900,2345,5.4,2003/03/01
Arlington,420,52103275,113800,2478,5.8,2003/04/01
Arlington,502,67131982,118000,2544,5.9,2003/05/01
Arlington,495,68632935,122900,2731,6.3,2003/06/01
Arlington,524,73194692,123500,2799,6.5,2003/07/01
Arlington,531,72397143,123900,2801,6.4,2003/08/01
Arlington,451,63432091,119200,2708,6.2,2003/09/01
Arlington,451,59867438,123400,2637,6,2003/10/01
Arlington,362,51186383,123100,2539,5.8,2003/11/01
Arlington,405,55076568,120200,2426,5.5,2003/12/01
Arlington,288,36572326,114500,2638,6,2004/01/01
Arlington,354,48048923,120400,2709,6.2,2004/02/01
Arlington,493,66902880,117000,2823,6.4,2004/03/01
Arlington,489,66665281,117100,2915,6.5,2004/04/01
Arlington,527,72401436,118300,2922,6.5,2004/05/01
Arlington,515,73886166,121300,2893,6.4,2004/06/01
Arlington,578,79609568,123800,2900,6.4,2004/07/01
Arlington,515,72336231,121500,2833,6.3,2004/08/01
Arlington,480,66141732,120300,2777,6.1,2004/09/01
Arlington,464,63006978,124100,2769,6.1,2004/10/01
Arlington,394,52819945,123700,2640,5.8,2004/11/01
Arlington,446,63363369,123300,2475,5.4,2004/12/01
Arlington,327,43605670,120500,2671,5.7,2005/01/01
Arlington,364,48747730,122200,2828,6.1,2005/02/01
Arlington,492,68782581,123900,2890,6.2,2005/03/01
Arlington,548,78286558,124600,2954,6.3,2005/04/01
Arlington,579,81002282,124200,2963,6.2,2005/05/01
Arlington,660,97579136,127000,3102,6.4,2005/06/01
Arlington,588,88850414,135100,3172,6.5,2005/07/01
Arlington,628,94065048,132800,NA,NA,2005/08/01
Arlington,551,85175555,134100,2846,5.7,2005/09/01
Arlington,482,69275277,130700,2844,5.6,2005/10/01
Arlington,448,65724505,130500,2769,5.4,2005/11/01
Arlington,484,76456692,135600,2537,4.9,2005/12/01
Arlington,348,50313284,125200,2720,5.3,2006/01/01
Arlington,415,58242346,125500,2843,5.5,2006/02/01
Arlington,578,83537970,129500,2950,5.6,2006/03/01
Arlington,583,82590779,128600,3008,5.7,2006/04/01
Arlington,656,95885042,129300,3099,5.8,2006/05/01
Arlington,720,107962697,134300,3122,5.8,2006/06/01
Arlington,621,93238745,132600,3207,5.9,2006/07/01
Arlington,715,106903695,130900,3178,5.8,2006/08/01
Arlington,505,75665308,131800,3215,5.9,2006/09/01
Arlington,483,70733566,128800,3126,5.7,2006/10/01
Arlington,472,69649910,133100,3019,5.5,2006/11/01
Arlington,487,74138446,134100,2829,5.2,2006/12/01
Arlington,391,58230415,130500,2967,5.4,2007/01/01
Arlington,420,63293055,126800,3042,5.5,2007/02/01
Arlington,573,86029966,131700,3160,5.7,2007/03/01
Arlington,541,77760044,129200,3209,5.8,2007/04/01
Arlington,605,88579861,128000,3161,5.8,2007/05/01
Arlington,619,91363030,133200,3140,5.9,2007/06/01
Arlington,567,87483513,135700,3208,6,2007/07/01
Arlington,553,81555794,128300,3049,5.9,2007/08/01
Arlington,427,66067557,132300,3029,5.9,2007/09/01
Arlington,407,60303327,128600,3020,6,2007/10/01
Arlington,382,58123749,132900,2794,5.6,2007/11/01
Arlington,397,56669818,126200,2580,5.3,2007/12/01
Arlington,299,41280330,128000,2652,5.5,2008/01/01
Arlington,361,52437477,127000,2606,5.5,2008/02/01
Arlington,390,60168088,131100,2660,5.8,2008/03/01
Arlington,458,67512370,130400,2676,5.9,2008/04/01
Arlington,531,81648934,131700,2578,5.7,2008/05/01
Arlington,468,71016280,131400,2587,5.9,2008/06/01
Arlington,452,69076095,136600,2546,6,2008/07/01
Arlington,464,67702876,130700,2415,5.8,2008/08/01
Arlington,436,63544449,127900,2241,5.3,2008/09/01
Arlington,369,51740641,126300,2203,5.3,2008/10/01
Arlington,263,37364981,123200,2139,5.3,2008/11/01
Arlington,323,46549795,130200,1957,4.9,2008/12/01
Arlington,214,28826098,121300,2000,5.1,2009/01/01
Arlington,253,35719731,127400,2060,5.3,2009/02/01
Arlington,344,48412582,123900,2094,5.5,2009/03/01
Arlington,356,49918860,127100,2056,5.5,2009/04/01
Arlington,351,50405268,128200,2191,6.1,2009/05/01
Arlington,417,63626964,135100,1944,5.5,2009/06/01
Arlington,448,64287307,131400,1943,5.5,2009/07/01
Arlington,409,61097738,132900,1864,5.3,2009/08/01
Arlington,365,49927665,126100,1754,5.1,2009/09/01
Arlington,424,63227634,131700,1787,5.1,2009/10/01
Arlington,360,50384639,127600,1708,4.8,2009/11/01
Arlington,328,49744684,132400,1673,4.7,2009/12/01
Arlington,216,29631325,123100,1750,4.9,2010/01/01
Arlington,275,40004983,126000,1839,5.1,2010/02/01
Arlington,412,62970419,129700,1877,5.2,2010/03/01
Arlington,451,64885372,130100,1847,5,2010/04/01
Arlington,450,66279392,132300,2016,5.3,2010/05/01
Arlington,367,58389192,134600,2221,5.9,2010/06/01
